Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Base_Link,0.020498,0.00052928,-0.00014662,0,0,0,1.8552,0.0017187,-1.2805E-06,3.4583E-05,0.0027084,-2.9915E-06,0.003855,0,0,0,0,0,0,package://Final_Revised2URDF.SLDASM/meshes/Base_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Final_Revised2URDF.SLDASM/meshes/Base_Link.STL,,ChassisRoman2meralFinal-1;FRMount-1;FLMount-1;BLMount-1;BRMount-1;Bracket-1;Assem2-1;Head300-2;BracketHead-1,CenterCS,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FR_Hip_Link,-0.00069237,0.005032,-0.035983,0,0,0,0.11979,2.3139E-05,2.5741E-07,7.9943E-08,3.747E-05,-9.6831E-08,2.7294E-05,0,0,0,0,0,0,package://Final_Revised2URDF.SLDASM/meshes/FR_Hip_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Final_Revised2URDF.SLDASM/meshes/FR_Hip_Link.STL,,FRHip-2,FRHipCS,FRHipAxis,FR_Hip_Joint,revolute,0.12775,-0.10197,-0.040562,0,0,0,Base_Link,-1,0,0,0,0,0,0,,,,,,,,
FR_Thigh_Link,0.02325,-8.3267E-17,-0.03491,0,0,0,0.043631,2.6989E-05,3.0837E-22,-1.2618E-20,3.1171E-05,-4.701E-20,4.9345E-06,0,0,0,0,0,0,package://Final_Revised2URDF.SLDASM/meshes/FR_Thigh_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Final_Revised2URDF.SLDASM/meshes/FR_Thigh_Link.STL,,FRThigh-2,FRThighCS,FRThighAxis,FR_Thigh_Joint,revolute,-0.033393,0.0050417,-0.041021,0,0,0,FR_Hip_Link,0,1,0,0,0,0,0,,,,,,,,
FR_Foot_Link,0.094759,0.0054487,-0.014006,0,0,0,0.1583,2.832E-05,1.7543E-06,6.718E-06,0.00013791,-7.0466E-08,0.00012971,0,0,0,0,0,0,package://Final_Revised2URDF.SLDASM/meshes/FR_Foot_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Final_Revised2URDF.SLDASM/meshes/FR_Foot_Link.STL,,FRFoot-1,FRFootCS,FRFootAxis,FR_Foot_Joint,revolute,-0.02937,0,-0.05232,0,0,0,FR_Thigh_Link,0,1,0,0,0,0,0,,,,,,,,
FL_Hip_Link,-0.00050218,-0.0050319,-0.036286,0,0,0,0.11979,2.3138E-05,-2.5726E-07,6.4302E-08,3.747E-05,9.07E-08,2.7295E-05,0,0,0,0,0,0,package://Final_Revised2URDF.SLDASM/meshes/FL_Hip_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Final_Revised2URDF.SLDASM/meshes/FL_Hip_Link.STL,,FLHip-1,FLHipCS,FLHipAxis,FL_Hip_Joint,revolute,0.12775,0.10163,-0.040562,0,0,0,Base_Link,-1,0,0,0,0,0,0,,,,,,,,
"FL_Thigh_Link ",0.023543,1.3878E-17,-0.035123,0,0,0,0.043631,2.6989E-05,-1.2945E-21,-1.0037E-20,3.1171E-05,2.5881E-20,4.9345E-06,0,0,0,0,0,0,package://Final_Revised2URDF.SLDASM/meshes/FL_Thigh_Link .STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Final_Revised2URDF.SLDASM/meshes/FL_Thigh_Link .STL,,FLThigh-1,FLThighCS,FLThighAxis,FL_Thigh_Joint,revolute,-0.033393,-0.0050417,-0.041111,0,0,0,FL_Hip_Link,0,1,0,0,0,0,0,,,,,,,,
FL_Foot_Link,0.095053,-0.0063159,-0.014309,0,0,0,0.1583,2.832E-05,-1.7544E-06,6.718E-06,0.00013791,7.0444E-08,0.00012971,0,0,0,0,0,0,package://Final_Revised2URDF.SLDASM/meshes/FL_Foot_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Final_Revised2URDF.SLDASM/meshes/FL_Foot_Link.STL,,FLFoot-2,FLFootCS,FLFootAxis,FL_Foot_Joint,revolute,-0.02937,0,-0.05223,0,0,0,"FL_Thigh_Link ",0,1,0,0,0,0,0,,,,,,,,
BR_Hip_Link,0.0019566,0.005032,-0.035497,0,0,0,0.11979,2.3142E-05,-2.5571E-07,-2.0643E-07,3.747E-05,-9.4833E-08,2.729E-05,0,0,0,0,0,0,package://Final_Revised2URDF.SLDASM/meshes/BR_Hip_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Final_Revised2URDF.SLDASM/meshes/BR_Hip_Link.STL,,BRHip-1,BRHipCS,BRHipAxis,BR_Hip_Joint,revolute,-0.12875,-0.10197,-0.040652,0,0,0,Base_Link,1,0,0,0,0,0,0,,,,,,,,
BR_Thigh_Link,-0.022895,-8.7153E-15,-0.034362,0,0,0,0.043631,2.6989E-05,1.1587E-21,-1.1365E-20,3.1171E-05,-2.7732E-20,4.9345E-06,0,0,0,0,0,0,package://Final_Revised2URDF.SLDASM/meshes/BR_Thigh_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Final_Revised2URDF.SLDASM/meshes/BR_Thigh_Link.STL,,BRThigh-1,BRThighCS,BRThighAxis,BR_Thigh_Joint,revolute,0.034392,0.0050417,-0.040931,0,0,0,BR_Hip_Link,0,1,0,0,0,0,0,,,,,,,,
BR_Foot_Link,-0.094406,0.0063159,-0.013368,0,0,0,0.1583,2.832E-05,-1.7544E-06,-6.718E-06,0.00013791,-7.0444E-08,0.00012971,0,0,0,0,0,0,package://Final_Revised2URDF.SLDASM/meshes/BR_Foot_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Final_Revised2URDF.SLDASM/meshes/BR_Foot_Link.STL,,BRFoot-1,BRFootCS,BRFootAxis,BR_Foot_Joint,revolute,0.029371,0,-0.05241,0,0,0,BR_Thigh_Link,0,1,0,0,0,0,0,,,,,,,,
BL_Hip_Link,0.00069237,-0.005032,-0.036073,0,0,0,0.11979,2.3139E-05,2.5741E-07,-7.9943E-08,3.747E-05,9.6831E-08,2.7294E-05,0,0,0,0,0,0,package://Final_Revised2URDF.SLDASM/meshes/BL_Hip_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Final_Revised2URDF.SLDASM/meshes/BL_Hip_Link.STL,,BLHip-1,BLHipCS,BLHipAxis,BL_Hip_Joint,revolute,-0.12875,0.10163,-0.040562,0,0,0,Base_Link,1,0,0,0,0,0,0,,,,,,,,
