t_s,target_deg,phase,raw,mean,margin
0.000,+90.0,settle,122.00,,
0.053,+90.0,settle,121.00,,
0.106,+90.0,settle,124.00,,
0.159,+90.0,settle,122.00,,
0.212,+90.0,settle,124.00,,
0.264,+90.0,settle,122.00,,
0.317,+90.0,settle,123.00,,
0.370,+90.0,settle,128.00,,
0.423,+90.0,settle,122.00,,
0.476,+90.0,settle,122.00,,
0.528,+90.0,settle,122.00,,
0.581,+90.0,settle,122.00,,
0.634,+90.0,settle,121.00,,
0.687,+90.0,settle,122.00,,
0.740,+90.0,settle,123.00,,
0.792,+90.0,settle,123.00,,
0.845,+90.0,settle,122.00,,
0.898,+90.0,settle,122.00,,
0.951,+90.0,settle,123.00,,
1.004,+90.0,settle,121.00,,
1.056,+90.0,settle,122.00,,
1.109,+90.0,settle,121.00,,
1.162,+90.0,settle,122.00,,
1.215,+90.0,settle,122.00,,
1.268,+90.0,settle,122.00,,
1.320,+90.0,settle,123.00,,
1.373,+90.0,settle,121.00,,
1.426,+90.0,settle,123.00,,
1.479,+90.0,settle,123.00,,
1.532,+90.0,settle,122.00,,
1.584,+90.0,settle,122.00,,
1.637,+90.0,settle,122.00,,
1.690,+90.0,settle,122.00,,
1.743,+90.0,settle,123.00,,
1.796,+90.0,settle,122.00,,
0.003,+90.0,measure,122.00,,
0.056,+90.0,measure,122.00,,
0.108,+90.0,measure,122.00,,
0.161,+90.0,measure,122.00,,
0.214,+90.0,measure,123.00,,
0.267,+90.0,measure,122.00,,
0.319,+90.0,measure,122.00,,
0.372,+90.0,measure,122.00,,
0.425,+90.0,measure,123.00,,
0.478,+90.0,measure,124.00,,
0.531,+90.0,measure,123.00,,
0.583,+90.0,measure,124.00,,
0.636,+90.0,measure,122.00,,
0.689,+90.0,measure,122.00,,
0.742,+90.0,measure,123.00,,
0.795,+90.0,measure,123.00,,
0.847,+90.0,measure,123.00,,
0.900,+90.0,measure,122.00,,
0.953,+90.0,measure,124.00,,
1.006,+90.0,measure,122.00,,
1.059,+90.0,measure,122.00,,
1.111,+90.0,measure,123.00,,
1.164,+90.0,measure,123.00,,
1.217,+90.0,measure,125.00,,
1.270,+90.0,measure,123.00,,
1.323,+90.0,measure,122.00,,
1.375,+90.0,measure,124.00,,
1.428,+90.0,measure,125.00,,
1.481,+90.0,measure,123.00,,
1.534,+90.0,measure,123.00,,
1.586,+90.0,measure,123.00,,
1.639,+90.0,measure,124.00,,
1.692,+90.0,measure,124.00,,
1.745,+90.0,measure,124.00,,
1.798,+90.0,measure,123.00,,
1.850,+90.0,measure,122.00,,
1.903,+90.0,measure,124.00,,
1.956,+90.0,measure,122.00,,
,+90.0,summary,,122.92,1.82
0.000,+60.0,settle,180.00,,
0.053,+60.0,settle,181.00,,
0.106,+60.0,settle,180.00,,
0.158,+60.0,settle,180.00,,
0.211,+60.0,settle,180.00,,
