t_us,cmd_deg,meas_deg
2759,-10.0,11.2068992708818
5486,-10.0,11.2068992708818
8210,-10.0,11.2068992708818
10936,-10.0,11.2068992708818
13665,-10.0,11.2068992708818
16392,-10.0,-50.05747293698197
19113,-10.0,-50.05747293698197
21836,-10.0,-50.05747293698197
24556,-10.0,-27.64367781031296
27281,-10.0,-27.64367781031296
30009,-10.0,-27.64367781031296
32730,-10.0,-27.64367781031296
35450,-10.0,-10.210726424580903
38171,-10.0,-10.210726424580903
40891,-10.0,-10.210726424580903
43612,-10.0,-9.712645124072337
46341,-10.0,-9.712645124072337
49062,-10.0,-9.712645124072337
51788,-10.0,-2.7394659358173503
54509,-10.0,-2.7394659358173503
57229,-10.0,-2.7394659358173503
59949,-10.0,-11.206895855787211
62669,-10.0,-11.206895855787211
65391,-10.0,-11.206895855787211
68112,-10.0,-11.206895855787211
70832,-10.0,-6.226052114850255
73552,-10.0,-6.226052114850255
76274,-10.0,-6.226052114850255
78994,-10.0,-6.7241436606425875
81714,-10.0,-6.7241436606425875
84439,-10.0,-6.7241436606425875
87160,-10.0,-8.218387562168285
89881,-10.0,-8.218387562168285
92602,-10.0,-8.218387562168285
95329,-10.0,-8.716479107960616
98051,-10.0,-8.716479107960616
100772,-10.0,-8.716479107960616
103492,-10.0,-8.716479107960616
106218,-10.0,-7.720306261659719
108948,-10.0,-7.720306261659719
111674,-10.0,-7.720306261659719
114395,-10.0,-8.218387562168285
117115,-10.0,-8.218387562168285
119837,-10.0,-8.218387562168285
122557,-10.0,-8.218387562168285
125277,-10.0,-8.218387562168285
127997,-10.0,-8.218387562168285
130718,-10.0,-7.222221546056564
133438,-10.0,-7.222221546056564
136159,-10.0,-7.222221546056564
138879,-10.0,-7.222221546056564
141600,-10.0,-7.720306261659719
144329,-10.0,-7.720306261659719
147051,-10.0,-7.720306261659719
149772,-10.0,-6.7241436606425875
152493,-10.0,-6.7241436606425875
155213,-10.0,-6.7241436606425875
157933,-10.0,-7.222221546056564
160653,-10.0,-7.222221546056564
163377,-10.0,-7.222221546056564
166097,-10.0,-7.222221546056564
168817,-10.0,-8.716479107960616
171538,-10.0,-8.716479107960616
174259,-10.0,-8.716479107960616
176979,-10.0,-6.7241436606425875
179701,-10.0,-6.7241436606425875
182426,-10.0,-6.7241436606425875
185148,-10.0,-7.222221546056564
187868,-10.0,-7.222221546056564
190589,-10.0,-7.222221546056564
193309,-10.0,-7.720306261659719
196031,-10.0,-7.720306261659719
198751,-10.0,-7.720306261659719
201472,-10.0,-7.720306261659719
204191,-10.0,-7.720306261659719
206918,-10.0,-7.720306261659719
209638,-10.0,-7.720306261659719
212361,-10.0,-7.720306261659719
215081,-10.0,-7.720306261659719
217808,-10.0,-7.720306261659719
220528,-10.0,-7.222221546056564
