t_us,cmd_deg,meas_deg
2796,-10.0,7.2727273799319345
5523,-10.0,6.780304891157191
8246,-10.0,6.780304891157191
10970,-10.0,6.780304891157191
13690,-10.0,6.780304891157191
16411,-10.0,65.37878937612165
19132,-10.0,65.37878937612165
21854,-10.0,65.37878937612165
24574,-10.0,38.29545687086224
27295,-10.0,38.29545687086224
30017,-10.0,38.29545687086224
32741,-10.0,16.62878881759796
35462,-10.0,16.62878881759796
38182,-10.0,16.62878881759796
40906,-10.0,16.62878881759796
43636,-10.0,7.2727273799319345
46358,-10.0,7.2727273799319345
49079,-10.0,7.2727273799319345
51800,-10.0,0.37878863142339625
54522,-10.0,0.37878863142339625
57246,-10.0,0.37878863142339625
59967,-10.0,-2.0833306426395017
62687,-10.0,-2.0833306426395017
65409,-10.0,-2.0833306426395017
68135,-10.0,-7.499998509729219
70856,-10.0,-7.499998509729219
73576,-10.0,-7.499998509729219
76298,-10.0,-7.499998509729219
79018,-10.0,-9.962117783792117
81739,-10.0,-9.962117783792117
84459,-10.0,-9.962117783792117
87180,-10.0,-11.43939378785282
89900,-10.0,-11.43939378785282
92622,-10.0,-11.43939378785282
95342,-10.0,-9.962117783792117
98071,-10.0,-9.962117783792117
100794,-10.0,-9.962117783792117
103516,-10.0,-11.43939378785282
106235,-10.0,-11.43939378785282
108958,-10.0,-11.43939378785282
111678,-10.0,-11.43939378785282
114399,-10.0,-10.946966176436193
117119,-10.0,-10.946966176436193
119841,-10.0,-10.946966176436193
122565,-10.0,-10.45454368766145
125285,-10.0,-10.45454368766145
128005,-10.0,-10.45454368766145
130728,-10.0,-10.946966176436193
133455,-10.0,-10.946966176436193
136175,-10.0,-10.946966176436193
138895,-10.0,-11.931816276627565
141617,-10.0,-11.931816276627565
144345,-10.0,-11.931816276627565
147074,-10.0,-11.931816276627565
149794,-10.0,-12.424242180496899
152519,-10.0,-12.424242180496899
155240,-10.0,-12.424242180496899
157962,-10.0,-12.916664669271642
160690,-10.0,-12.916664669271642
163412,-10.0,-12.916664669271642
166132,-10.0,-12.424242180496899
168852,-10.0,-12.424242180496899
171572,-10.0,-12.424242180496899
174294,-10.0,-10.45454368766145
177015,-10.0,-10.45454368766145
179741,-10.0,-10.45454368766145
182460,-10.0,-10.45454368766145
185183,-10.0,-9.962117783792117
187903,-10.0,-9.962117783792117
190623,-10.0,-9.962117783792117
193343,-10.0,-12.916664669271642
196072,-10.0,-12.916664669271642
198793,-10.0,-12.916664669271642
201514,-10.0,-11.43939378785282
204235,-10.0,-11.43939378785282
206957,-10.0,-11.43939378785282
209677,-10.0,-12.916664669271642
212401,-10.0,-12.916664669271642
215121,-10.0,-12.916664669271642
217843,-10.0,-12.916664669271642
220563,-10.0,-12.424242180496899
223283,-10.0,-12.424242180496899
226003,-10.0,-12.424242180496899
228724,-10.0,-12.424242180496899
