t_us,cmd_deg,meas_deg
2757,2.0,-4.545453331796988
5485,2.0,-6.022727628310398
8209,2.0,-6.022727628310398
10934,2.0,-6.022727628310398
13657,2.0,2.34848541671155
16379,2.0,2.34848541671155
19100,2.0,2.34848541671155
21823,2.0,2.34848541671155
24545,2.0,-2.5757531314142454
27268,2.0,-2.5757531314142454
29989,2.0,-2.5757531314142454
32711,2.0,-2.5757531314142454
35432,2.0,-2.5757531314142454
38157,2.0,-2.5757531314142454
40877,2.0,-1.5909047387701687
43599,2.0,-1.5909047387701687
46320,2.0,-1.5909047387701687
49040,2.0,-2.0833306426395017
51761,2.0,-2.0833306426395017
54482,2.0,-2.0833306426395017
57203,2.0,-2.0833306426395017
59924,2.0,-2.5757531314142454
62644,2.0,-2.5757531314142454
65366,2.0,-2.5757531314142454
68087,2.0,-2.0833306426395017
70809,2.0,-2.0833306426395017
73529,2.0,-2.0833306426395017
76268,2.0,-2.5757531314142454
78988,2.0,-2.5757531314142454
81709,2.0,-2.5757531314142454
84429,2.0,-2.5757531314142454
87151,2.0,-2.5757531314142454
89871,2.0,-2.5757531314142454
92592,2.0,-2.5757531314142454
95315,2.0,-2.5757531314142454
98037,2.0,-2.5757531314142454
100757,2.0,-2.5757531314142454
103477,2.0,-3.0681824503781674
106197,2.0,-3.0681824503781674
108918,2.0,-3.0681824503781674
111638,2.0,-2.0833306426395017
114359,2.0,-2.0833306426395017
117079,2.0,-2.0833306426395017
119801,2.0,-2.0833306426395017
122521,2.0,-1.5909047387701687
125248,2.0,-1.5909047387701687
127969,2.0,-1.5909047387701687
130691,2.0,-2.0833306426395017
133412,2.0,-2.0833306426395017
136132,2.0,-2.0833306426395017
138856,2.0,-2.5757531314142454
141578,2.0,-2.5757531314142454
144298,2.0,-2.5757531314142454
147019,2.0,-2.5757531314142454
149739,2.0,-2.5757531314142454
152460,2.0,-2.5757531314142454
155180,2.0,-2.5757531314142454
157900,2.0,-3.0681824503781674
160620,2.0,-3.0681824503781674
163341,2.0,-3.0681824503781674
166061,2.0,-3.0681824503781674
168781,2.0,-3.0681824503781674
171502,2.0,-3.0681824503781674
174223,2.0,-2.5757531314142454
176943,2.0,-2.5757531314142454
179669,2.0,-2.5757531314142454
182389,2.0,-2.5757531314142454
185111,2.0,-2.5757531314142454
187831,2.0,-2.5757531314142454
190551,2.0,-2.5757531314142454
193271,2.0,-2.5757531314142454
195992,2.0,-2.5757531314142454
198712,2.0,-2.5757531314142454
201433,2.0,-2.0833306426395017
204152,2.0,-2.0833306426395017
206874,2.0,-2.0833306426395017
209594,2.0,-2.5757531314142454
212316,2.0,-2.5757531314142454
215036,2.0,-2.5757531314142454
217758,2.0,-2.0833306426395017
220482,2.0,-2.0833306426395017
223202,2.0,-2.0833306426395017
225922,2.0,-2.0833306426395017
228645,2.0,-2.0833306426395017
231371,2.0,-2.0833306426395017
234091,2.0,-2.0833306426395017
236811,2.0,-2.0833306426395017
239545,2.0,-2.0833306426395017
242266,2.0,-2.0833306426395017
244989,2.0,-1.5909047387701687
247709,2.0,-1.5909047387701687
250430,2.0,-1.5909047387701687
253150,2.0,-2.5757531314142454
255871,2.0,-2.5757531314142454
258591,2.0,-2.5757531314142454
261312,2.0,-2.5757531314142454
264032,2.0,-2.0833306426395017
266753,2.0,-2.0833306426395017
269472,2.0,-2.0833306426395017
272194,2.0,-2.5757531314142454
274914,2.0,-2.5757531314142454
277634,2.0,-2.5757531314142454
280354,2.0,-2.0833306426395017
283076,2.0,-2.0833306426395017
285802,2.0,-2.0833306426395017
288522,2.0,-2.5757531314142454
291249,2.0,-2.5757531314142454
293970,2.0,-2.5757531314142454
296691,2.0,-2.5757531314142454
299419,2.0,-1.5909047387701687
302139,2.0,-1.5909047387701687
304860,2.0,-1.5909047387701687
307580,2.0,-2.0833306426395017
310308,2.0,-2.0833306426395017
313028,2.0,-2.0833306426395017
315750,2.0,-2.0833306426395017
318470,2.0,-2.0833306426395017
321190,2.0,-2.0833306426395017
323910,2.0,-2.0833306426395017
326630,2.0,-2.0833306426395017
329349,2.0,-2.0833306426395017
332069,2.0,-2.0833306426395017
334788,2.0,-2.0833306426395017
337510,2.0,-2.0833306426395017
340235,2.0,-2.0833306426395017
342956,2.0,-2.0833306426395017
345676,2.0,-2.0833306426395017
348397,2.0,-2.0833306426395017
351121,2.0,-2.0833306426395017
353842,2.0,-2.0833306426395017
356562,2.0,-2.0833306426395017
359284,2.0,-2.0833306426395017
362004,2.0,-2.0833306426395017
364726,2.0,-2.0833306426395017
367446,2.0,-2.0833306426395017
370167,2.0,-1.0984822499954248
372887,2.0,-1.0984822499954248
375607,2.0,-1.0984822499954248
378327,2.0,-1.0984822499954248
381049,2.0,-1.0984822499954248
383773,2.0,-1.0984822499954248
386493,2.0,-2.0833306426395017
389213,2.0,-2.0833306426395017
391935,2.0,-2.0833306426395017
394655,2.0,-1.5909047387701687
397375,2.0,-1.5909047387701687
400095,2.0,-1.5909047387701687
402816,2.0,-1.5909047387701687
405545,2.0,-1.0984822499954248
408267,2.0,-1.0984822499954248
410987,2.0,-1.0984822499954248
413714,2.0,-2.0833306426395017
416441,2.0,-2.0833306426395017
419161,2.0,-2.0833306426395017
421880,2.0,-1.5909047387701687
424602,2.0,-1.5909047387701687
427322,2.0,-1.5909047387701687
430042,2.0,-2.5757531314142454
432761,2.0,-2.5757531314142454
435481,2.0,-2.5757531314142454
438203,2.0,-2.5757531314142454
440922,2.0,-2.5757531314142454
443642,2.0,-2.5757531314142454
446366,2.0,-2.5757531314142454
449092,2.0,-2.0833306426395017
451813,2.0,-2.0833306426395017
454539,2.0,-2.0833306426395017
457261,2.0,-1.5909047387701687
459981,2.0,-1.5909047387701687
462702,2.0,-1.5909047387701687
465421,2.0,-3.0681824503781674
468144,2.0,-3.0681824503781674
470871,2.0,-3.0681824503781674
473591,2.0,-2.0833306426395017
476311,2.0,-2.0833306426395017
479033,2.0,-2.0833306426395017
481754,2.0,-2.0833306426395017
484474,2.0,-1.5909047387701687
487194,2.0,-1.5909047387701687
489915,2.0,-1.5909047387701687
492636,2.0,-1.5909047387701687
495356,2.0,-1.5909047387701687
498076,2.0,-1.5909047387701687
500797,2.0,-2.0833306426395017
503522,2.0,-2.0833306426395017
506249,2.0,-2.0833306426395017
508969,2.0,-2.0833306426395017
511691,2.0,-2.0833306426395017
514411,2.0,-2.0833306426395017
517132,2.0,-2.0833306426395017
519852,2.0,-2.0833306426395017
522574,2.0,-2.0833306426395017
525294,2.0,-2.0833306426395017
528014,2.0,-2.0833306426395017
530734,2.0,-2.0833306426395017
533455,2.0,-2.0833306426395017
536176,2.0,-1.5909047387701687
538897,2.0,-1.5909047387701687
541617,2.0,-1.5909047387701687
544338,2.0,-1.5909047387701687
547058,2.0,-2.0833306426395017
549780,2.0,-2.0833306426395017
552500,2.0,-2.0833306426395017
555226,2.0,-1.5909047387701687
557946,2.0,-1.5909047387701687
560666,2.0,-1.5909047387701687
563386,2.0,-1.5909047387701687
566107,2.0,-1.5909047387701687
568828,2.0,-1.5909047387701687
571549,2.0,-2.0833306426395017
574269,2.0,-2.0833306426395017
576991,2.0,-2.0833306426395017
579711,2.0,-2.0833306426395017
582431,2.0,-1.0984822499954248
585151,2.0,-1.0984822499954248
587877,2.0,-1.0984822499954248
590598,2.0,-1.0984822499954248
593318,2.0,-1.0984822499954248
596037,2.0,-1.0984822499954248
598759,2.0,-2.5757531314142454
601479,2.0,-2.5757531314142454
604199,2.0,-2.5757531314142454
606919,2.0,-1.0984822499954248
609640,2.0,-1.0984822499954248
612360,2.0,-1.0984822499954248
615080,2.0,-1.0984822499954248
617800,2.0,-1.5909047387701687
620522,2.0,-1.5909047387701687
623253,2.0,-1.5909047387701687
625974,2.0,-2.0833306426395017
628694,2.0,-2.0833306426395017
631415,2.0,-2.0833306426395017
634136,2.0,-2.0833306426395017
636856,2.0,-2.0833306426395017
639578,2.0,-2.0833306426395017
642299,2.0,-1.5909047387701687
645020,2.0,-1.5909047387701687
647740,2.0,-1.5909047387701687
650460,2.0,-1.5909047387701687
653181,2.0,-2.0833306426395017
655902,2.0,-2.0833306426395017
658628,2.0,-2.0833306426395017
