t_us,cmd_deg,meas_deg
2752,-15.0,11.652893548720332
5481,-15.0,11.652893548720332
8204,-15.0,12.644626772055648
10927,-15.0,12.644626772055648
13650,-15.0,12.644626772055648
16374,-15.0,54.29752460497662
19097,-15.0,54.29752460497662
21818,-15.0,54.29752460497662
24547,-15.0,54.29752460497662
27268,-15.0,30.99173750753596
29988,-15.0,30.99173750753596
32708,-15.0,30.99173750753596
35428,-15.0,18.09917145323095
38150,-15.0,18.09917145323095
40870,-15.0,18.09917145323095
43593,-15.0,10.661156910290426
46313,-15.0,10.661156910290426
49035,-15.0,10.661156910290426
51756,-15.0,3.719007271470263
54482,-15.0,3.719007271470263
57203,-15.0,3.719007271470263
59924,-15.0,3.719007271470263
62644,-15.0,-3.223140659802605
65364,-15.0,-3.223140659802605
68084,-15.0,-3.223140659802605
70806,-15.0,-10.661156910290426
73526,-15.0,-10.661156910290426
76263,-15.0,-10.661156910290426
78989,-15.0,-10.165290298622766
81711,-15.0,-10.165290298622766
84431,-15.0,-10.165290298622766
87152,-15.0,-12.148761867935285
89879,-15.0,-12.148761867935285
92601,-15.0,-12.148761867935285
95321,-15.0,-12.148761867935285
98041,-15.0,-11.15702522950538
100761,-15.0,-11.15702522950538
103483,-15.0,-11.15702522950538
106202,-15.0,-17.603306549110588
108922,-15.0,-17.603306549110588
111642,-15.0,-17.603306549110588
114364,-15.0,-17.603306549110588
117084,-15.0,-17.603306549110588
119804,-15.0,-17.603306549110588
122529,-15.0,-17.603306549110588
125259,-15.0,-17.603306549110588
127979,-15.0,-17.603306549110588
130700,-15.0,-17.603306549110588
133420,-15.0,-18.09917486832554
136141,-15.0,-18.09917486832554
138861,-15.0,-18.09917486832554
141582,-15.0,-18.09917486832554
144308,-15.0,-18.09917486832554
147029,-15.0,-18.09917486832554
149750,-15.0,-19.58677641087581
152470,-15.0,-19.58677641087581
155190,-15.0,-19.58677641087581
157912,-15.0,-17.603306549110588
160632,-15.0,-17.603306549110588
163352,-15.0,-17.603306549110588
166072,-15.0,-17.603306549110588
168794,-15.0,-17.107438229895635
171514,-15.0,-17.107438229895635
174241,-15.0,-17.107438229895635
176962,-15.0,-18.09917486832554
179688,-15.0,-18.09917486832554
182408,-15.0,-18.09917486832554
185128,-15.0,-17.107438229895635
187849,-15.0,-17.107438229895635
190579,-15.0,-17.107438229895635
193301,-15.0,-18.5950414799932
196021,-15.0,-18.5950414799932
198740,-15.0,-18.5950414799932
201467,-15.0,-18.5950414799932
204193,-15.0,-17.603306549110588
206913,-15.0,-17.603306549110588
209632,-15.0,-17.603306549110588
212356,-15.0,-18.09917486832554
215076,-15.0,-18.09917486832554
217796,-15.0,-18.09917486832554
220516,-15.0,-17.603306549110588
223245,-15.0,-17.603306549110588
225972,-15.0,-17.603306549110588
228692,-15.0,-16.11570159146573
231411,-15.0,-16.11570159146573
234134,-15.0,-16.11570159146573
236854,-15.0,-16.11570159146573
239576,-15.0,-17.107438229895635
242295,-15.0,-17.107438229895635
245016,-15.0,-17.107438229895635
247737,-15.0,-16.11570159146573
250457,-15.0,-16.11570159146573
253177,-15.0,-16.11570159146573
255901,-15.0,-17.603306549110588
258622,-15.0,-17.603306549110588
261342,-15.0,-17.603306549110588
264062,-15.0,-18.09917486832554
266785,-15.0,-18.09917486832554
269505,-15.0,-18.09917486832554
272225,-15.0,-18.09917486832554
274945,-15.0,-18.09917486832554
277667,-15.0,-18.09917486832554
280387,-15.0,-18.09917486832554
283107,-15.0,-18.5950414799932
285827,-15.0,-18.5950414799932
288549,-15.0,-18.5950414799932
291269,-15.0,-18.09917486832554
293990,-15.0,-18.09917486832554
296710,-15.0,-18.09917486832554
299436,-15.0,-17.603306549110588
302156,-15.0,-17.603306549110588
304876,-15.0,-17.603306549110588
307596,-15.0,-17.603306549110588
310318,-15.0,-17.603306549110588
313037,-15.0,-17.603306549110588
315758,-15.0,-17.603306549110588
318477,-15.0,-17.107438229895635
321199,-15.0,-17.107438229895635
323919,-15.0,-17.107438229895635
326639,-15.0,-16.611569910680682
329358,-15.0,-16.611569910680682
332079,-15.0,-16.611569910680682
334799,-15.0,-17.603306549110588
337519,-15.0,-17.603306549110588
340251,-15.0,-17.603306549110588
342973,-15.0,-17.603306549110588
345693,-15.0,-17.603306549110588
348413,-15.0,-17.603306549110588
351135,-15.0,-17.603306549110588
353858,-15.0,-17.603306549110588
356578,-15.0,-17.603306549110588
359298,-15.0,-17.603306549110588
362018,-15.0,-18.09917486832554
364738,-15.0,-18.09917486832554
367459,-15.0,-18.09917486832554
370178,-15.0,-17.603306549110588
372898,-15.0,-17.603306549110588
375619,-15.0,-17.603306549110588
378340,-15.0,-17.603306549110588
381059,-15.0,-18.09917486832554
383779,-15.0,-18.09917486832554
386501,-15.0,-18.09917486832554
389220,-15.0,-17.603306549110588
391941,-15.0,-17.603306549110588
394661,-15.0,-17.603306549110588
397384,-15.0,-17.603306549110588
400109,-15.0,-17.603306549110588
402829,-15.0,-17.603306549110588
405549,-15.0,-17.107438229895635
408271,-15.0,-17.107438229895635
410992,-15.0,-17.107438229895635
413712,-15.0,-17.107438229895635
416432,-15.0,-18.09917486832554
419153,-15.0,-18.09917486832554
421873,-15.0,-18.09917486832554
424598,-15.0,-17.107438229895635
427318,-15.0,-17.107438229895635
430038,-15.0,-17.107438229895635
432759,-15.0,-16.611569910680682
435479,-15.0,-16.611569910680682
438199,-15.0,-16.611569910680682
440921,-15.0,-17.603306549110588
443640,-15.0,-17.603306549110588
446360,-15.0,-17.603306549110588
449080,-15.0,-17.603306549110588
451801,-15.0,-16.611569910680682
454521,-15.0,-16.611569910680682
457249,-15.0,-16.611569910680682
459969,-15.0,-17.603306549110588
462691,-15.0,-17.603306549110588
465410,-15.0,-17.603306549110588
468131,-15.0,-17.107438229895635
470850,-15.0,-17.107438229895635
473573,-15.0,-17.107438229895635
476299,-15.0,-18.09917486832554
479020,-15.0,-18.09917486832554
481739,-15.0,-18.09917486832554
484462,-15.0,-18.09917486832554
487182,-15.0,-17.107438229895635
489902,-15.0,-17.107438229895635
492622,-15.0,-17.107438229895635
495344,-15.0,-18.09917486832554
498067,-15.0,-18.09917486832554
500790,-15.0,-18.09917486832554
503510,-15.0,-16.611569910680682
506243,-15.0,-16.611569910680682
508967,-15.0,-16.611569910680682
511688,-15.0,-17.603306549110588
514408,-15.0,-17.603306549110588
517129,-15.0,-17.603306549110588
519849,-15.0,-17.603306549110588
522570,-15.0,-18.5950414799932
525290,-15.0,-18.5950414799932
528011,-15.0,-18.5950414799932
530731,-15.0,-17.603306549110588
533457,-15.0,-17.603306549110588
536176,-15.0,-17.603306549110588
538898,-15.0,-16.611569910680682
541618,-15.0,-16.611569910680682
544338,-15.0,-16.611569910680682
547057,-15.0,-17.107438229895635
549781,-15.0,-17.107438229895635
552501,-15.0,-17.107438229895635
555221,-15.0,-17.107438229895635
557941,-15.0,-18.09917486832554
560663,-15.0,-18.09917486832554
563383,-15.0,-18.09917486832554
566103,-15.0,-18.09917486832554
568823,-15.0,-18.09917486832554
571546,-15.0,-18.09917486832554
574269,-15.0,-18.09917486832554
576990,-15.0,-18.09917486832554
579709,-15.0,-18.09917486832554
582431,-15.0,-18.09917486832554
585151,-15.0,-18.09917486832554
587871,-15.0,-18.09917486832554
590591,-15.0,-18.09917486832554
593312,-15.0,-18.5950414799932
596032,-15.0,-18.5950414799932
598752,-15.0,-18.5950414799932
601473,-15.0,-18.09917486832554
604195,-15.0,-18.09917486832554
606915,-15.0,-18.09917486832554
609635,-15.0,-17.107438229895635
612355,-15.0,-17.107438229895635
615082,-15.0,-17.107438229895635
617803,-15.0,-17.603306549110588
620523,-15.0,-17.603306549110588
623252,-15.0,-17.603306549110588
625974,-15.0,-17.603306549110588
628698,-15.0,-18.09917486832554
631418,-15.0,-18.09917486832554
634138,-15.0,-18.09917486832554
636861,-15.0,-18.5950414799932
639581,-15.0,-18.5950414799932
642301,-15.0,-18.5950414799932
645021,-15.0,-17.603306549110588
647742,-15.0,-17.603306549110588
650462,-15.0,-17.603306549110588
653182,-15.0,-17.603306549110588
655902,-15.0,-17.603306549110588
658623,-15.0,-17.603306549110588
661343,-15.0,-17.603306549110588
664064,-15.0,-17.603306549110588
666783,-15.0,-17.603306549110588
669505,-15.0,-17.603306549110588
672225,-15.0,-17.603306549110588
674945,-15.0,-17.603306549110588
677671,-15.0,-17.603306549110588
680392,-15.0,-17.603306549110588
683112,-15.0,-17.603306549110588
685832,-15.0,-17.603306549110588
688552,-15.0,-18.09917486832554
691273,-15.0,-18.09917486832554
693993,-15.0,-18.09917486832554
696713,-15.0,-18.09917486832554
699433,-15.0,-17.107438229895635
702155,-15.0,-17.107438229895635
704877,-15.0,-17.107438229895635
707597,-15.0,-17.603306549110588
710322,-15.0,-17.603306549110588
713044,-15.0,-17.603306549110588
715764,-15.0,-15.123966660583118
718484,-15.0,-15.123966660583118
721204,-15.0,-15.123966660583118
723925,-15.0,-15.619834979798071
726645,-15.0,-15.619834979798071
729365,-15.0,-15.619834979798071
732085,-15.0,-15.619834979798071
734807,-15.0,-17.107438229895635
737527,-15.0,-17.107438229895635
740256,-15.0,-17.107438229895635
742976,-15.0,-18.09917486832554
745697,-15.0,-18.09917486832554
748417,-15.0,-18.09917486832554
751137,-15.0,-17.603306549110588
753862,-15.0,-17.603306549110588
756583,-15.0,-17.603306549110588
759303,-15.0,-19.090909799208152
762024,-15.0,-19.090909799208152
764743,-15.0,-19.090909799208152
767465,-15.0,-19.090909799208152
770185,-15.0,-18.09917486832554
772904,-15.0,-18.09917486832554
775624,-15.0,-18.09917486832554
778346,-15.0,-18.09917486832554
781066,-15.0,-18.09917486832554
783786,-15.0,-18.09917486832554
786506,-15.0,-18.09917486832554
789228,-15.0,-18.09917486832554
791948,-15.0,-18.09917486832554
794688,-15.0,-16.11570159146573
797427,-15.0,-16.11570159146573
800152,-15.0,-16.11570159146573
802881,-15.0,-16.11570159146573
805610,-15.0,-17.603306549110588
808333,-15.0,-17.603306549110588
811056,-15.0,-17.603306549110588
813776,-15.0,-18.5950414799932
816497,-15.0,-18.5950414799932
819217,-15.0,-18.5950414799932
821938,-15.0,-16.611569910680682
824659,-15.0,-16.611569910680682
827382,-15.0,-16.611569910680682
830102,-15.0,-17.603306549110588
832823,-15.0,-17.603306549110588
835545,-15.0,-17.603306549110588
838271,-15.0,-17.107438229895635
840992,-15.0,-17.107438229895635
843715,-15.0,-17.107438229895635
846435,-15.0,-17.107438229895635
849161,-15.0,-18.09917486832554
851880,-15.0,-18.09917486832554
854602,-15.0,-18.09917486832554
857323,-15.0,-18.5950414799932
860043,-15.0,-18.5950414799932
862763,-15.0,-18.5950414799932
865485,-15.0,-17.107438229895635
868205,-15.0,-17.107438229895635
870925,-15.0,-17.107438229895635
873645,-15.0,-18.09917486832554
876367,-15.0,-18.09917486832554
879087,-15.0,-18.09917486832554
881811,-15.0,-18.09917486832554
884531,-15.0,-17.603306549110588
887262,-15.0,-17.603306549110588
889983,-15.0,-17.603306549110588
892704,-15.0,-17.603306549110588
895423,-15.0,-17.603306549110588
898145,-15.0,-17.603306549110588
900865,-15.0,-18.5950414799932
903590,-15.0,-18.5950414799932
906311,-15.0,-18.5950414799932
909035,-15.0,-18.5950414799932
911756,-15.0,-18.5950414799932
914479,-15.0,-18.5950414799932
917199,-15.0,-18.5950414799932
919921,-15.0,-16.611569910680682
922641,-15.0,-16.611569910680682
925362,-15.0,-16.611569910680682
928081,-15.0,-17.107438229895635
930803,-15.0,-17.107438229895635
933523,-15.0,-17.107438229895635
936258,-15.0,-18.5950414799932
938979,-15.0,-18.5950414799932
941701,-15.0,-18.5950414799932
944421,-15.0,-17.107438229895635
947141,-15.0,-17.107438229895635
949861,-15.0,-17.107438229895635
952582,-15.0,-17.107438229895635
955303,-15.0,-18.09917486832554
958024,-15.0,-18.09917486832554
960747,-15.0,-18.09917486832554
963470,-15.0,-17.603306549110588
966190,-15.0,-17.603306549110588
968911,-15.0,-17.603306549110588
971636,-15.0,-18.09917486832554
974358,-15.0,-18.09917486832554
977078,-15.0,-18.09917486832554
979798,-15.0,-17.107438229895635
982518,-15.0,-17.107438229895635
985246,-15.0,-17.107438229895635
987966,-15.0,-17.107438229895635
990687,-15.0,-16.611569910680682
993407,-15.0,-16.611569910680682
996132,-15.0,-16.611569910680682
998852,-15.0,-17.603306549110588
1001572,-15.0,-17.603306549110588
1004292,-15.0,-17.603306549110588
1007014,-15.0,-17.107438229895635
1009735,-15.0,-17.107438229895635
1012456,-15.0,-17.107438229895635
1015177,-15.0,-17.603306549110588
1017898,-15.0,-17.603306549110588
1020618,-15.0,-17.603306549110588
1023338,-15.0,-17.603306549110588
1026058,-15.0,-17.107438229895635
1028780,-15.0,-17.107438229895635
1031500,-15.0,-17.107438229895635
1034220,-15.0,-16.611569910680682
1036940,-15.0,-16.611569910680682
1039661,-15.0,-16.611569910680682
1042381,-15.0,-17.603306549110588
1045102,-15.0,-17.603306549110588
1047822,-15.0,-17.603306549110588
1050545,-15.0,-18.09917486832554
1053265,-15.0,-18.09917486832554
1055989,-15.0,-18.09917486832554
1058708,-15.0,-18.09917486832554
1061430,-15.0,-17.603306549110588
1064150,-15.0,-17.603306549110588
1066870,-15.0,-17.603306549110588
1069590,-15.0,-17.603306549110588
1072311,-15.0,-17.603306549110588
1075031,-15.0,-17.603306549110588
1077751,-15.0,-17.603306549110588
1080471,-15.0,-17.603306549110588
1083193,-15.0,-17.603306549110588
1085913,-15.0,-17.107438229895635
1088633,-15.0,-17.107438229895635
1091353,-15.0,-17.107438229895635
1094075,-15.0,-17.107438229895635
1096800,-15.0,-17.603306549110588
1099520,-15.0,-17.603306549110588
1102249,-15.0,-17.603306549110588
1104971,-15.0,-17.107438229895635
1107691,-15.0,-17.107438229895635
1110412,-15.0,-17.107438229895635
1113134,-15.0,-18.09917486832554
1115856,-15.0,-18.09917486832554
1118579,-15.0,-18.09917486832554
1121299,-15.0,-17.603306549110588
1124019,-15.0,-17.603306549110588
1126740,-15.0,-17.603306549110588
1129460,-15.0,-17.603306549110588
1132180,-15.0,-19.090909799208152
1134900,-15.0,-19.090909799208152
1137622,-15.0,-19.090909799208152
1140342,-15.0,-18.09917486832554
1143062,-15.0,-18.09917486832554
1145782,-15.0,-18.09917486832554
1148503,-15.0,-17.603306549110588
1151224,-15.0,-17.603306549110588
1153944,-15.0,-17.603306549110588
1156664,-15.0,-18.09917486832554
1159385,-15.0,-18.09917486832554
1162106,-15.0,-18.09917486832554
1164826,-15.0,-18.09917486832554
1167547,-15.0,-17.603306549110588
1170269,-15.0,-17.603306549110588
1172989,-15.0,-17.603306549110588
1175710,-15.0,-18.09917486832554
1178430,-15.0,-18.09917486832554
1181154,-15.0,-18.09917486832554
1183874,-15.0,-16.611569910680682
1186594,-15.0,-16.611569910680682
1189314,-15.0,-16.611569910680682
1192036,-15.0,-18.5950414799932
1194756,-15.0,-18.5950414799932
