t_us,cmd_deg,meas_deg
2758,-15.0,17.333333076573588
5484,-15.0,17.333333076573588
8209,-15.0,17.333333076573588
10940,-15.0,-19.999999441039172
13665,-15.0,-19.999999441039172
16393,-15.0,-19.999999441039172
19116,-15.0,-14.666666712108006
21839,-15.0,-14.666666712108006
24560,-15.0,-14.666666712108006
27282,-15.0,-3.4666659322958
30002,-15.0,-3.4666659322958
32724,-15.0,-3.4666659322958
35445,-15.0,-3.4666659322958
38173,-15.0,-3.4666659322958
40893,-15.0,-3.4666659322958
43615,-15.0,-3.4666659322958
46335,-15.0,-5.066665067956232
49062,-15.0,-5.066665067956232
51782,-15.0,-5.066665067956232
54504,-15.0,-2.399998703490649
57224,-15.0,-2.399998703490649
59945,-15.0,-2.399998703490649
62665,-15.0,-3.999997839151081
65387,-15.0,-3.999997839151081
68125,-15.0,-3.999997839151081
70848,-15.0,-5.600000389906103
73570,-15.0,-5.600000389906103
76293,-15.0,-5.600000389906103
79014,-15.0,-5.600000389906103
81734,-15.0,-8.799998661226967
84460,-15.0,-8.799998661226967
87182,-15.0,-8.799998661226967
89902,-15.0,-7.199999525566535
92623,-15.0,-7.199999525566535
95343,-15.0,-7.199999525566535
98065,-15.0,-10.93333311883727
100785,-15.0,-10.93333311883727
103506,-15.0,-10.93333311883727
106226,-15.0,-12.533332254497703
108948,-15.0,-12.533332254497703
111668,-15.0,-12.533332254497703
114389,-15.0,-12.533332254497703
117119,-15.0,-11.466665025692551
119846,-15.0,-11.466665025692551
122573,-15.0,-11.466665025692551
125300,-15.0,-13.066667576447573
128021,-15.0,-13.066667576447573
130743,-15.0,-13.066667576447573
133464,-15.0,-13.066667576447573
136184,-15.0,-13.066667576447573
138905,-15.0,-13.066667576447573
141627,-15.0,-12.000000347642422
144350,-15.0,-12.000000347642422
147071,-15.0,-12.000000347642422
149792,-15.0,-12.000000347642422
152514,-15.0,-12.000000347642422
155240,-15.0,-12.000000347642422
157961,-15.0,-12.000000347642422
160681,-15.0,-13.600002898397443
163403,-15.0,-13.600002898397443
166131,-15.0,-13.600002898397443
168851,-15.0,-12.000000347642422
171571,-15.0,-12.000000347642422
174294,-15.0,-12.000000347642422
177014,-15.0,-13.066667576447573
179735,-15.0,-13.066667576447573
182454,-15.0,-13.066667576447573
185176,-15.0,-13.066667576447573
187897,-15.0,-12.533332254497703
190618,-15.0,-12.533332254497703
193337,-15.0,-12.533332254497703
196059,-15.0,-12.533332254497703
198783,-15.0,-12.533332254497703
201503,-15.0,-12.533332254497703
204223,-15.0,-13.066667576447573
206946,-15.0,-13.066667576447573
209666,-15.0,-13.066667576447573
212390,-15.0,-13.066667576447573
215117,-15.0,-13.066667576447573
217839,-15.0,-13.066667576447573
220563,-15.0,-12.533332254497703
223288,-15.0,-12.533332254497703
226016,-15.0,-12.533332254497703
228739,-15.0,-12.533332254497703
231459,-15.0,-12.533332254497703
234181,-15.0,-12.533332254497703
236901,-15.0,-12.533332254497703
239623,-15.0,-13.066667576447573
242343,-15.0,-13.066667576447573
245063,-15.0,-13.066667576447573
247783,-15.0,-13.066667576447573
250504,-15.0,-13.066667576447573
253224,-15.0,-13.066667576447573
255945,-15.0,-13.066667576447573
258667,-15.0,-11.466665025692551
261389,-15.0,-11.466665025692551
264115,-15.0,-11.466665025692551
266836,-15.0,-16.266665847768436
269556,-15.0,-16.266665847768436
272278,-15.0,-16.266665847768436
274999,-15.0,-12.000000347642422
277724,-15.0,-12.000000347642422
280445,-15.0,-12.000000347642422
283166,-15.0,-14.666666712108006
285886,-15.0,-14.666666712108006
288607,-15.0,-14.666666712108006
291326,-15.0,-14.666666712108006
294048,-15.0,-12.000000347642422
296768,-15.0,-12.000000347642422
299490,-15.0,-12.000000347642422
302209,-15.0,-12.533332254497703
304931,-15.0,-12.533332254497703
307651,-15.0,-12.533332254497703
310371,-15.0,-12.000000347642422
313091,-15.0,-12.000000347642422
315820,-15.0,-12.000000347642422
318540,-15.0,-13.066667576447573
321261,-15.0,-13.066667576447573
323982,-15.0,-13.066667576447573
326707,-15.0,-13.066667576447573
