t_us,cmd_deg,meas_deg
2752,-5.0,7.734376451366022
5485,-5.0,7.734376451366022
8224,-5.0,7.734376451366022
10950,-5.0,-20.195310408126154
13674,-5.0,-20.195310408126154
16395,-5.0,-20.195310408126154
19117,-5.0,-3.9453119294988865
21839,-5.0,-3.9453119294988865
24560,-5.0,-3.9453119294988865
27280,-5.0,-4.453122834491253
30000,-5.0,-4.453122834491253
32722,-5.0,-4.453122834491253
35446,-5.0,-4.453122834491253
38166,-5.0,-4.453122834491253
40887,-5.0,-4.453122834491253
43608,-5.0,-4.453122834491253
46335,-5.0,-2.9296867044195642
49059,-5.0,-2.9296867044195642
51786,-5.0,-2.9296867044195642
54510,-5.0,-2.9296867044195642
57231,-5.0,-2.9296867044195642
59952,-5.0,-2.9296867044195642
62672,-5.0,0.6250032909053571
65395,-5.0,0.6250032909053571
68115,-5.0,0.6250032909053571
70841,-5.0,0.6250032909053571
73561,-5.0,-1.4062471592532868
76283,-5.0,-1.4062471592532868
79004,-5.0,-1.4062471592532868
81730,-5.0,-2.421872384332609
84450,-5.0,-2.421872384332609
87171,-5.0,-2.421872384332609
89892,-5.0,-0.39062193417396485
92619,-5.0,-0.39062193417396485
95339,-5.0,-0.39062193417396485
98063,-5.0,0.1171889708184017
100784,-5.0,0.1171889708184017
103511,-5.0,0.1171889708184017
106236,-5.0,0.1171889708184017
108958,-5.0,-1.4062471592532868
111678,-5.0,-1.4062471592532868
114399,-5.0,-1.4062471592532868
117125,-5.0,-1.4062471592532868
119846,-5.0,-1.4062471592532868
122566,-5.0,-1.4062471592532868
125287,-5.0,-1.4062471592532868
128007,-5.0,-1.4062471592532868
130728,-5.0,-1.4062471592532868
133448,-5.0,-0.8984362542609203
136169,-5.0,-0.8984362542609203
138889,-5.0,-0.8984362542609203
141616,-5.0,-0.8984362542609203
144336,-5.0,-1.4062471592532868
147057,-5.0,-1.4062471592532868
149781,-5.0,-1.4062471592532868
152511,-5.0,-2.421872384332609
155233,-5.0,-2.421872384332609
157953,-5.0,-2.421872384332609
160673,-5.0,-0.39062193417396485
163395,-5.0,-0.39062193417396485
166121,-5.0,-0.39062193417396485
168842,-5.0,-0.8984362542609203
171561,-5.0,-0.8984362542609203
174284,-5.0,-0.8984362542609203
177004,-5.0,-0.8984362542609203
179725,-5.0,0.1171889708184017
182445,-5.0,0.1171889708184017
185173,-5.0,0.1171889708184017
187899,-5.0,0.1171889708184017
190620,-5.0,0.1171889708184017
193339,-5.0,0.1171889708184017
196062,-5.0,-1.4062471592532868
198782,-5.0,-1.4062471592532868
201510,-5.0,-1.4062471592532868
204231,-5.0,-1.9140614793402424
206953,-5.0,-1.9140614793402424
209678,-5.0,-1.9140614793402424
212406,-5.0,-1.9140614793402424
215126,-5.0,-0.8984362542609203
217848,-5.0,-0.8984362542609203
220568,-5.0,-0.8984362542609203
223288,-5.0,-1.4062471592532868
226008,-5.0,-1.4062471592532868
228730,-5.0,-1.4062471592532868
231451,-5.0,-0.39062193417396485
234171,-5.0,-0.39062193417396485
236891,-5.0,-0.39062193417396485
239612,-5.0,-0.8984362542609203
242332,-5.0,-0.8984362542609203
245056,-5.0,-0.8984362542609203
247776,-5.0,-0.8984362542609203
250503,-5.0,-0.8984362542609203
253225,-5.0,-0.8984362542609203
255948,-5.0,-0.8984362542609203
258674,-5.0,-0.8984362542609203
261395,-5.0,-0.8984362542609203
264115,-5.0,-0.8984362542609203
266836,-5.0,-0.8984362542609203
269555,-5.0,-0.8984362542609203
272276,-5.0,-0.8984362542609203
274996,-5.0,-1.4062471592532868
277717,-5.0,-1.4062471592532868
280436,-5.0,-1.4062471592532868
283158,-5.0,-1.4062471592532868
285878,-5.0,-1.4062471592532868
288598,-5.0,-1.4062471592532868
291318,-5.0,-1.4062471592532868
294039,-5.0,-1.9140614793402424
296760,-5.0,-1.9140614793402424
299485,-5.0,-1.9140614793402424
302212,-5.0,-1.4062471592532868
304934,-5.0,-1.4062471592532868
307653,-5.0,-1.4062471592532868
310374,-5.0,-0.39062193417396485
313094,-5.0,-0.39062193417396485
315815,-5.0,-0.39062193417396485
318536,-5.0,-0.39062193417396485
321255,-5.0,-0.8984362542609203
323975,-5.0,-0.8984362542609203
326696,-5.0,-0.8984362542609203
329416,-5.0,-0.39062193417396485
332136,-5.0,-0.39062193417396485
334856,-5.0,-0.39062193417396485
337577,-5.0,-0.8984362542609203
340297,-5.0,-0.8984362542609203
343017,-5.0,-0.8984362542609203
345737,-5.0,-1.4062471592532868
348459,-5.0,-1.4062471592532868
351186,-5.0,-1.4062471592532868
353907,-5.0,-1.4062471592532868
356628,-5.0,-1.4062471592532868
359352,-5.0,-1.4062471592532868
362075,-5.0,-1.4062471592532868
364795,-5.0,-0.39062193417396485
367516,-5.0,-0.39062193417396485
370238,-5.0,-0.39062193417396485
372957,-5.0,-0.8984362542609203
375677,-5.0,-0.8984362542609203
378397,-5.0,-0.8984362542609203
381119,-5.0,-0.8984362542609203
383839,-5.0,-1.4062471592532868
386559,-5.0,-1.4062471592532868
389279,-5.0,-1.4062471592532868
392001,-5.0,-1.4062471592532868
394726,-5.0,-1.4062471592532868
397446,-5.0,-1.4062471592532868
400166,-5.0,-1.4062471592532868
402888,-5.0,-1.4062471592532868
405608,-5.0,-1.4062471592532868
408329,-5.0,-0.8984362542609203
411049,-5.0,-0.8984362542609203
413770,-5.0,-0.8984362542609203
416490,-5.0,-0.8984362542609203
419221,-5.0,-1.4062471592532868
421941,-5.0,-1.4062471592532868
424667,-5.0,-1.4062471592532868
427394,-5.0,-0.8984362542609203
430121,-5.0,-0.8984362542609203
432841,-5.0,-0.8984362542609203
435562,-5.0,-0.8984362542609203
438282,-5.0,-0.8984362542609203
