t_us,cmd_deg,meas_deg
2765,2.0,2.6562503259694124
5493,2.0,2.6562503259694124
8219,2.0,2.6562503259694124
10941,2.0,2.6562503259694124
13670,2.0,2.6562503259694124
16397,2.0,2.6562503259694124
19123,2.0,2.148439420977046
21845,2.0,2.148439420977046
24567,2.0,2.148439420977046
27288,2.0,1.6406251008900903
30013,2.0,1.6406251008900903
32733,2.0,1.6406251008900903
35455,2.0,2.148439420977046
38175,2.0,2.148439420977046
40895,2.0,2.148439420977046
43615,2.0,2.148439420977046
46337,2.0,2.6562503259694124
49057,2.0,2.6562503259694124
51778,2.0,2.6562503259694124
54499,2.0,3.671875551048734
57220,2.0,3.671875551048734
59940,2.0,3.671875551048734
62663,2.0,4.17968987113569
65383,2.0,4.17968987113569
68105,2.0,4.17968987113569
70827,2.0,4.17968987113569
73553,2.0,4.17968987113569
76272,2.0,4.17968987113569
78994,2.0,4.17968987113569
81714,2.0,-0.8984362542609203
84435,2.0,-0.8984362542609203
87155,2.0,-0.8984362542609203
89877,2.0,2.6562503259694124
92603,2.0,2.6562503259694124
95323,2.0,2.6562503259694124
98043,2.0,3.1640646460563677
100765,2.0,3.1640646460563677
103485,2.0,3.1640646460563677
106205,2.0,2.148439420977046
108925,2.0,2.148439420977046
111647,2.0,2.148439420977046
114368,2.0,2.148439420977046
117092,2.0,3.1640646460563677
119821,2.0,3.1640646460563677
122543,2.0,3.1640646460563677
125264,2.0,4.17968987113569
127984,2.0,4.17968987113569
130710,2.0,4.17968987113569
133431,2.0,3.671875551048734
136151,2.0,3.671875551048734
138871,2.0,3.671875551048734
141592,2.0,2.6562503259694124
144313,2.0,2.6562503259694124
147034,2.0,2.6562503259694124
149760,2.0,2.6562503259694124
152488,2.0,3.671875551048734
155210,2.0,3.671875551048734
157931,2.0,3.671875551048734
160651,2.0,3.1640646460563677
163377,2.0,3.1640646460563677
166099,2.0,3.1640646460563677
168820,2.0,3.1640646460563677
171541,2.0,3.1640646460563677
174266,2.0,3.1640646460563677
176988,2.0,3.671875551048734
179709,2.0,3.671875551048734
182429,2.0,3.671875551048734
185148,2.0,3.671875551048734
187870,2.0,3.1640646460563677
190590,2.0,3.1640646460563677
193310,2.0,3.1640646460563677
196030,2.0,4.17968987113569
198751,2.0,4.17968987113569
201472,2.0,4.17968987113569
204192,2.0,3.671875551048734
206917,2.0,3.671875551048734
209639,2.0,3.671875551048734
212361,2.0,3.671875551048734
215082,2.0,3.671875551048734
217812,2.0,3.671875551048734
220537,2.0,3.671875551048734
223257,2.0,3.1640646460563677
225977,2.0,3.1640646460563677
228697,2.0,3.1640646460563677
231425,2.0,3.671875551048734
234145,2.0,3.671875551048734
236865,2.0,3.671875551048734
239585,2.0,2.6562503259694124
242307,2.0,2.6562503259694124
245027,2.0,2.6562503259694124
247747,2.0,3.1640646460563677
250467,2.0,3.1640646460563677
253188,2.0,3.1640646460563677
255915,2.0,3.1640646460563677
258635,2.0,3.671875551048734
261355,2.0,3.671875551048734
264076,2.0,3.671875551048734
266796,2.0,3.1640646460563677
269525,2.0,3.1640646460563677
272245,2.0,3.1640646460563677
274967,2.0,2.6562503259694124
277687,2.0,2.6562503259694124
280408,2.0,2.6562503259694124
283127,2.0,2.6562503259694124
285854,2.0,2.6562503259694124
288574,2.0,2.6562503259694124
291295,2.0,2.6562503259694124
294015,2.0,3.671875551048734
296736,2.0,3.671875551048734
299456,2.0,3.671875551048734
302177,2.0,3.1640646460563677
304897,2.0,3.1640646460563677
307618,2.0,3.1640646460563677
310338,2.0,3.671875551048734
313058,2.0,3.671875551048734
315778,2.0,3.671875551048734
318500,2.0,3.1640646460563677
321220,2.0,3.1640646460563677
323940,2.0,3.1640646460563677
326665,2.0,3.1640646460563677
329386,2.0,4.687500776128056
332106,2.0,4.687500776128056
334826,2.0,4.687500776128056
337546,2.0,2.6562503259694124
340267,2.0,2.6562503259694124
342988,2.0,2.6562503259694124
345708,2.0,3.1640646460563677
348427,2.0,3.1640646460563677
351149,2.0,3.1640646460563677
353871,2.0,2.6562503259694124
356591,2.0,2.6562503259694124
359316,2.0,2.6562503259694124
362038,2.0,2.6562503259694124
364758,2.0,3.671875551048734
367478,2.0,3.671875551048734
370198,2.0,3.671875551048734
372920,2.0,3.1640646460563677
375640,2.0,3.1640646460563677
378366,2.0,3.1640646460563677
381094,2.0,3.671875551048734
383821,2.0,3.671875551048734
386542,2.0,3.671875551048734
389263,2.0,4.17968987113569
391983,2.0,4.17968987113569
394705,2.0,4.17968987113569
397425,2.0,4.17968987113569
400145,2.0,4.687500776128056
402865,2.0,4.687500776128056
405587,2.0,4.687500776128056
408308,2.0,3.671875551048734
411028,2.0,3.671875551048734
413748,2.0,3.671875551048734
416469,2.0,3.671875551048734
419189,2.0,3.671875551048734
421910,2.0,3.671875551048734
424634,2.0,4.687500776128056
427355,2.0,4.687500776128056
430075,2.0,4.687500776128056
432796,2.0,4.687500776128056
435524,2.0,3.671875551048734
438245,2.0,3.671875551048734
440965,2.0,3.671875551048734
443685,2.0,3.1640646460563677
446406,2.0,3.1640646460563677
449127,2.0,3.1640646460563677
451847,2.0,3.1640646460563677
454574,2.0,3.1640646460563677
457294,2.0,3.1640646460563677
460016,2.0,2.6562503259694124
462736,2.0,2.6562503259694124
465456,2.0,2.6562503259694124
468176,2.0,2.6562503259694124
470897,2.0,2.6562503259694124
473619,2.0,2.6562503259694124
476339,2.0,2.6562503259694124
479063,2.0,4.687500776128056
481785,2.0,4.687500776128056
484515,2.0,4.687500776128056
487237,2.0,4.687500776128056
489957,2.0,4.687500776128056
492679,2.0,4.687500776128056
495399,2.0,4.17968987113569
498119,2.0,4.17968987113569
500842,2.0,4.17968987113569
503563,2.0,4.17968987113569
506284,2.0,3.671875551048734
509004,2.0,3.671875551048734
511724,2.0,3.671875551048734
514448,2.0,3.671875551048734
517168,2.0,3.671875551048734
519888,2.0,3.671875551048734
522609,2.0,3.1640646460563677
525330,2.0,3.1640646460563677
528051,2.0,3.1640646460563677
530771,2.0,3.671875551048734
533492,2.0,3.671875551048734
536213,2.0,3.671875551048734
538932,2.0,3.671875551048734
541654,2.0,2.6562503259694124
544374,2.0,2.6562503259694124
547095,2.0,2.6562503259694124
549822,2.0,3.671875551048734
552543,2.0,3.671875551048734
555263,2.0,3.671875551048734
557985,2.0,3.671875551048734
560705,2.0,3.671875551048734
563425,2.0,3.671875551048734
566145,2.0,4.687500776128056
568866,2.0,4.687500776128056
571586,2.0,4.687500776128056
574306,2.0,4.687500776128056
577027,2.0,3.671875551048734
579748,2.0,3.671875551048734
582468,2.0,3.671875551048734
585194,2.0,3.1640646460563677
587914,2.0,3.1640646460563677
590636,2.0,3.1640646460563677
593356,2.0,4.17968987113569
596076,2.0,4.17968987113569
598796,2.0,4.17968987113569
601524,2.0,3.671875551048734
604245,2.0,3.671875551048734
606965,2.0,3.671875551048734
609686,2.0,3.671875551048734
612407,2.0,3.671875551048734
615127,2.0,3.671875551048734
617847,2.0,3.671875551048734
620568,2.0,3.671875551048734
623291,2.0,3.671875551048734
626011,2.0,3.671875551048734
628733,2.0,4.687500776128056
631453,2.0,4.687500776128056
634174,2.0,4.687500776128056
636895,2.0,2.6562503259694124
639615,2.0,2.6562503259694124
642335,2.0,2.6562503259694124
645057,2.0,2.6562503259694124
647777,2.0,3.671875551048734
650497,2.0,3.671875551048734
653217,2.0,3.671875551048734
655938,2.0,4.17968987113569
658659,2.0,4.17968987113569
661379,2.0,4.17968987113569
664099,2.0,3.671875551048734
666821,2.0,3.671875551048734
669545,2.0,3.671875551048734
672266,2.0,3.1640646460563677
674986,2.0,3.1640646460563677
677708,2.0,3.1640646460563677
680435,2.0,3.1640646460563677
683155,2.0,3.671875551048734
685875,2.0,3.671875551048734
688597,2.0,3.671875551048734
691317,2.0,2.6562503259694124
694037,2.0,2.6562503259694124
696757,2.0,2.6562503259694124
699479,2.0,3.1640646460563677
702199,2.0,3.1640646460563677
704919,2.0,3.1640646460563677
707639,2.0,4.687500776128056
710361,2.0,4.687500776128056
713081,2.0,4.687500776128056
715801,2.0,4.687500776128056
718532,2.0,3.671875551048734
721254,2.0,3.671875551048734
723975,2.0,3.671875551048734
726695,2.0,3.1640646460563677
729415,2.0,3.1640646460563677
732137,2.0,3.1640646460563677
734864,2.0,4.17968987113569
737585,2.0,4.17968987113569
740305,2.0,4.17968987113569
743027,2.0,2.148439420977046
745753,2.0,2.148439420977046
748473,2.0,2.148439420977046
751194,2.0,2.148439420977046
753916,2.0,3.1640646460563677
756642,2.0,3.1640646460563677
759370,2.0,3.1640646460563677
762090,2.0,2.6562503259694124
764817,2.0,2.6562503259694124
767538,2.0,2.6562503259694124
770259,2.0,4.17968987113569
772980,2.0,4.17968987113569
775702,2.0,4.17968987113569
778422,2.0,3.671875551048734
781148,2.0,3.671875551048734
783869,2.0,3.671875551048734
786590,2.0,3.671875551048734
789310,2.0,4.17968987113569
792031,2.0,4.17968987113569
794751,2.0,4.17968987113569
797472,2.0,3.671875551048734
800192,2.0,3.671875551048734
802913,2.0,3.671875551048734
805633,2.0,3.1640646460563677
808354,2.0,3.1640646460563677
811074,2.0,3.1640646460563677
813800,2.0,4.17968987113569
816528,2.0,4.17968987113569
819250,2.0,4.17968987113569
821970,2.0,4.17968987113569
824690,2.0,3.671875551048734
827417,2.0,3.671875551048734
830138,2.0,3.671875551048734
832858,2.0,2.6562503259694124
835579,2.0,2.6562503259694124
838306,2.0,2.6562503259694124
841028,2.0,3.671875551048734
843749,2.0,3.671875551048734
846469,2.0,3.671875551048734
849195,2.0,3.671875551048734
851916,2.0,3.671875551048734
854637,2.0,3.671875551048734
857357,2.0,3.671875551048734
860077,2.0,2.6562503259694124
862798,2.0,2.6562503259694124
865526,2.0,2.6562503259694124
868246,2.0,3.671875551048734
870967,2.0,3.671875551048734
873688,2.0,3.671875551048734
876408,2.0,3.671875551048734
879129,2.0,3.671875551048734
881848,2.0,3.671875551048734
884570,2.0,3.671875551048734
887290,2.0,3.671875551048734
890010,2.0,3.671875551048734
892735,2.0,3.671875551048734
895456,2.0,3.671875551048734
898176,2.0,3.671875551048734
900896,2.0,3.671875551048734
903617,2.0,6.210940321294334
906338,2.0,6.210940321294334
909058,2.0,6.210940321294334
911778,2.0,3.671875551048734
914498,2.0,3.671875551048734
917221,2.0,3.671875551048734
919941,2.0,4.17968987113569
922661,2.0,4.17968987113569
925382,2.0,4.17968987113569
928103,2.0,4.17968987113569
930824,2.0,3.1640646460563677
933547,2.0,3.1640646460563677
936267,2.0,3.1640646460563677
938989,2.0,3.671875551048734
941709,2.0,3.671875551048734
944429,2.0,3.671875551048734
947149,2.0,4.17968987113569
949870,2.0,4.17968987113569
952590,2.0,4.17968987113569
955310,2.0,3.671875551048734
958030,2.0,3.671875551048734
960751,2.0,3.671875551048734
963472,2.0,3.671875551048734
966198,2.0,3.671875551048734
968918,2.0,3.671875551048734
971639,2.0,3.671875551048734
974359,2.0,4.17968987113569
977080,2.0,4.17968987113569
979799,2.0,4.17968987113569
982529,2.0,4.17968987113569
985250,2.0,4.17968987113569
987976,2.0,4.17968987113569
990696,2.0,3.671875551048734
993418,2.0,3.671875551048734
996138,2.0,3.671875551048734
998859,2.0,3.1640646460563677
1001579,2.0,3.1640646460563677
1004300,2.0,3.1640646460563677
1007026,2.0,3.1640646460563677
1009746,2.0,3.671875551048734
1012467,2.0,3.671875551048734
1015188,2.0,3.671875551048734
1017909,2.0,3.1640646460563677
1020629,2.0,3.1640646460563677
1023349,2.0,3.1640646460563677
1026070,2.0,4.17968987113569
1028791,2.0,4.17968987113569
1031516,2.0,4.17968987113569
1034236,2.0,3.671875551048734
1036958,2.0,3.671875551048734
1039678,2.0,3.671875551048734
1042398,2.0,3.671875551048734
1045118,2.0,3.1640646460563677
1047839,2.0,3.1640646460563677
1050560,2.0,3.1640646460563677
1053280,2.0,4.687500776128056
1056000,2.0,4.687500776128056
1058722,2.0,4.687500776128056
1061442,2.0,4.17968987113569
1064163,2.0,4.17968987113569
1066882,2.0,4.17968987113569
1069604,2.0,4.17968987113569
1072328,2.0,4.17968987113569
1075048,2.0,4.17968987113569
1077768,2.0,4.17968987113569
1080491,2.0,3.1640646460563677
1083217,2.0,3.1640646460563677
1085937,2.0,3.1640646460563677
1088657,2.0,3.1640646460563677
1091380,2.0,3.1640646460563677
1094107,2.0,3.1640646460563677
1096827,2.0,2.6562503259694124
1099547,2.0,2.6562503259694124
1102269,2.0,2.6562503259694124
1104989,2.0,2.6562503259694124
1107710,2.0,4.17968987113569
1110430,2.0,4.17968987113569
1113151,2.0,4.17968987113569
1115871,2.0,3.671875551048734
1118591,2.0,3.671875551048734
1121311,2.0,3.671875551048734
1124033,2.0,4.687500776128056
1126757,2.0,4.687500776128056
1129478,2.0,4.687500776128056
1132198,2.0,3.1640646460563677
1134920,2.0,3.1640646460563677
1137647,2.0,3.1640646460563677
1140367,2.0,3.1640646460563677
1143087,2.0,2.6562503259694124
1145817,2.0,2.6562503259694124
1148538,2.0,2.6562503259694124
1151264,2.0,3.671875551048734
1153984,2.0,3.671875551048734
1156705,2.0,3.671875551048734
1159426,2.0,3.671875551048734
1162146,2.0,3.671875551048734
1164867,2.0,3.671875551048734
1167588,2.0,3.1640646460563677
1170314,2.0,3.1640646460563677
1173034,2.0,3.1640646460563677
1175754,2.0,3.671875551048734
1178476,2.0,3.671875551048734
1181196,2.0,3.671875551048734
1183916,2.0,3.671875551048734
1186636,2.0,3.1640646460563677
1189356,2.0,3.1640646460563677
1192076,2.0,3.1640646460563677
1194795,2.0,3.671875551048734
1197521,2.0,3.671875551048734
1200244,2.0,3.671875551048734
1202965,2.0,2.6562503259694124
1205685,2.0,2.6562503259694124
1208405,2.0,2.6562503259694124
1211128,2.0,2.6562503259694124
1213854,2.0,3.671875551048734
1216582,2.0,3.671875551048734
1219302,2.0,3.671875551048734
1222022,2.0,2.6562503259694124
1224743,2.0,2.6562503259694124
1227463,2.0,2.6562503259694124
1230183,2.0,3.671875551048734
1232905,2.0,3.671875551048734
1235625,2.0,3.671875551048734
1238345,2.0,3.671875551048734
1241065,2.0,3.671875551048734
1243787,2.0,3.671875551048734
1246513,2.0,3.671875551048734
1249234,2.0,2.6562503259694124
1251954,2.0,2.6562503259694124
1254675,2.0,2.6562503259694124
1257396,2.0,4.17968987113569
1260122,2.0,4.17968987113569
1262842,2.0,4.17968987113569
1265565,2.0,2.6562503259694124
1268285,2.0,2.6562503259694124
1271011,2.0,2.6562503259694124
1273731,2.0,3.1640646460563677
1276453,2.0,3.1640646460563677
1279173,2.0,3.1640646460563677
1281893,2.0,3.1640646460563677
1284614,2.0,3.1640646460563677
1287334,2.0,3.1640646460563677
1290054,2.0,3.1640646460563677
1292774,2.0,4.17968987113569
1295495,2.0,4.17968987113569
1298217,2.0,4.17968987113569
1300937,2.0,3.671875551048734
1303657,2.0,3.671875551048734
1306377,2.0,3.671875551048734
1309099,2.0,4.687500776128056
1311824,2.0,4.687500776128056
1314545,2.0,4.687500776128056
1317265,2.0,4.687500776128056
1319986,2.0,2.6562503259694124
1322713,2.0,2.6562503259694124
1325433,2.0,2.6562503259694124
1328153,2.0,3.1640646460563677
1330875,2.0,3.1640646460563677
1333595,2.0,3.1640646460563677
1336315,2.0,2.6562503259694124
1339035,2.0,2.6562503259694124
1341756,2.0,2.6562503259694124
1344477,2.0,3.1640646460563677
1347197,2.0,3.1640646460563677
1349917,2.0,3.1640646460563677
1352639,2.0,3.1640646460563677
1355363,2.0,3.671875551048734
1358084,2.0,3.671875551048734
1360804,2.0,3.671875551048734
1363534,2.0,3.1640646460563677
1366254,2.0,3.1640646460563677
1368980,2.0,3.1640646460563677
1371700,2.0,3.1640646460563677
1374422,2.0,3.1640646460563677
1377142,2.0,3.1640646460563677
1379863,2.0,3.1640646460563677
1382583,2.0,3.1640646460563677
1385305,2.0,3.1640646460563677
1388031,2.0,3.1640646460563677
1390751,2.0,2.6562503259694124
1393471,2.0,2.6562503259694124
1396192,2.0,2.6562503259694124
1398913,2.0,4.687500776128056
1401633,2.0,4.687500776128056
1404353,2.0,4.687500776128056
1407074,2.0,3.1640646460563677
1409795,2.0,3.1640646460563677
1412521,2.0,3.1640646460563677
1415241,2.0,3.1640646460563677
1417963,2.0,3.1640646460563677
1420684,2.0,3.1640646460563677
1423410,2.0,3.1640646460563677
1426130,2.0,4.17968987113569
1428852,2.0,4.17968987113569
1431572,2.0,4.17968987113569
1434299,2.0,3.671875551048734
1437019,2.0,3.671875551048734
1439740,2.0,3.671875551048734
1442460,2.0,4.17968987113569
1445188,2.0,4.17968987113569
1447909,2.0,4.17968987113569
1450630,2.0,2.6562503259694124
1453350,2.0,2.6562503259694124
1456070,2.0,2.6562503259694124
1458791,2.0,2.6562503259694124
1461518,2.0,3.1640646460563677
1464239,2.0,3.1640646460563677
1466960,2.0,3.1640646460563677
1469680,2.0,3.1640646460563677
1472402,2.0,3.1640646460563677
1475122,2.0,3.1640646460563677
1477842,2.0,3.1640646460563677
1480563,2.0,3.1640646460563677
1483284,2.0,3.1640646460563677
1486005,2.0,3.1640646460563677
1488728,2.0,3.1640646460563677
1491448,2.0,3.1640646460563677
1494170,2.0,3.1640646460563677
1496890,2.0,2.6562503259694124
1499610,2.0,2.6562503259694124
1502330,2.0,2.6562503259694124
1505051,2.0,3.1640646460563677
1507772,2.0,3.1640646460563677
1510492,2.0,3.1640646460563677
1513212,2.0,3.671875551048734
1515934,2.0,3.671875551048734
1518654,2.0,3.671875551048734
1521374,2.0,3.1640646460563677
1524094,2.0,3.1640646460563677
1526825,2.0,3.1640646460563677
1529547,2.0,3.1640646460563677
1532267,2.0,3.671875551048734
1534987,2.0,3.671875551048734
1537709,2.0,3.671875551048734
1540429,2.0,3.1640646460563677
1543150,2.0,3.1640646460563677
1545870,2.0,3.1640646460563677
1548592,2.0,3.671875551048734
1551312,2.0,3.671875551048734
1554032,2.0,3.671875551048734
1556752,2.0,3.671875551048734
1559473,2.0,3.671875551048734
1562194,2.0,3.671875551048734
1564915,2.0,3.671875551048734
1567635,2.0,4.687500776128056
1570356,2.0,4.687500776128056
1573080,2.0,4.687500776128056
1575801,2.0,4.17968987113569
1578528,2.0,4.17968987113569
1581250,2.0,4.17968987113569
1583970,2.0,3.1640646460563677
1586690,2.0,3.1640646460563677
1589410,2.0,3.1640646460563677
1592132,2.0,4.17968987113569
1594858,2.0,4.17968987113569
1597578,2.0,4.17968987113569
1600298,2.0,4.17968987113569
1603021,2.0,3.1640646460563677
1605741,2.0,3.1640646460563677
1608461,2.0,3.1640646460563677
1611181,2.0,4.17968987113569
1613902,2.0,4.17968987113569
1616623,2.0,4.17968987113569
1619343,2.0,3.671875551048734
1622063,2.0,3.671875551048734
1624784,2.0,3.671875551048734
