t_us,cmd_deg,meas_deg
2759,-5.0,2.550607789956111
5490,-5.0,2.550607789956111
8218,-5.0,2.550607789956111
10947,-5.0,43.36032218397012
13671,-5.0,43.36032218397012
16396,-5.0,43.36032218397012
19119,-5.0,43.36032218397012
21843,-5.0,34.129560566771154
24567,-5.0,34.129560566771154
27295,-5.0,34.129560566771154
30024,-5.0,12.753038949780555
32753,-5.0,12.753038949780555
35476,-5.0,12.753038949780555
38202,-5.0,6.437248394417546
40925,-5.0,6.437248394417546
43651,-5.0,6.437248394417546
46373,-5.0,4.493926384639534
49096,-5.0,4.493926384639534
51818,-5.0,4.493926384639534
54542,-5.0,4.493926384639534
57264,-5.0,-3.2793514091887475
59986,-5.0,-3.2793514091887475
62732,-5.0,-3.2793514091887475
65461,-5.0,-5.222671711419465
68183,-5.0,-5.222671711419465
70906,-5.0,-5.222671711419465
73628,-5.0,-6.194331008761177
76352,-5.0,-6.194331008761177
79074,-5.0,-6.194331008761177
81796,-5.0,-7.165993721197477
84518,-5.0,-7.165993721197477
87242,-5.0,-7.165993721197477
89966,-5.0,-7.165993721197477
92689,-5.0,-6.194331008761177
95411,-5.0,-6.194331008761177
98135,-5.0,-6.194331008761177
100857,-5.0,-7.165993721197477
103583,-5.0,-7.165993721197477
106305,-5.0,-7.165993721197477
109039,-5.0,-7.165993721197477
111762,-5.0,-7.165993721197477
114485,-5.0,-7.165993721197477
117207,-5.0,-7.651821662321038
119931,-5.0,-7.651821662321038
122653,-5.0,-7.651821662321038
125376,-5.0,-7.651821662321038
128098,-5.0,-6.194331008761177
130823,-5.0,-6.194331008761177
133545,-5.0,-6.194331008761177
136267,-5.0,-7.651821662321038
138989,-5.0,-7.651821662321038
141713,-5.0,-7.651821662321038
144436,-5.0,-7.165993721197477
147159,-5.0,-7.165993721197477
149881,-5.0,-7.165993721197477
152605,-5.0,-6.680162364979327
155333,-5.0,-6.680162364979327
158057,-5.0,-6.680162364979327
160779,-5.0,-6.680162364979327
163503,-5.0,-7.165993721197477
166233,-5.0,-7.165993721197477
168960,-5.0,-7.165993721197477
171681,-5.0,-6.680162364979327
174403,-5.0,-6.680162364979327
177125,-5.0,-6.680162364979327
179849,-5.0,-7.165993721197477
182577,-5.0,-7.165993721197477
185306,-5.0,-7.165993721197477
188033,-5.0,-7.651821662321038
190755,-5.0,-7.651821662321038
193476,-5.0,-7.651821662321038
196199,-5.0,-7.651821662321038
198922,-5.0,-7.165993721197477
201645,-5.0,-7.165993721197477
204366,-5.0,-7.165993721197477
207090,-5.0,-6.680162364979327
209812,-5.0,-6.680162364979327
212537,-5.0,-6.680162364979327
215259,-5.0,-7.165993721197477
217983,-5.0,-7.165993721197477
220705,-5.0,-7.165993721197477
223429,-5.0,-6.194331008761177
226151,-5.0,-6.194331008761177
228873,-5.0,-6.194331008761177
231595,-5.0,-6.194331008761177
234319,-5.0,-7.165993721197477
237049,-5.0,-7.165993721197477
239773,-5.0,-7.165993721197477
242495,-5.0,-7.165993721197477
245217,-5.0,-7.165993721197477
247939,-5.0,-7.165993721197477
250662,-5.0,-6.680162364979327
253385,-5.0,-6.680162364979327
256108,-5.0,-6.680162364979327
258830,-5.0,-7.165993721197477
261554,-5.0,-7.165993721197477
264276,-5.0,-7.165993721197477
266999,-5.0,-7.165993721197477
269723,-5.0,-7.651821662321038
272447,-5.0,-7.651821662321038
275169,-5.0,-7.651821662321038
277892,-5.0,-6.680162364979327
280613,-5.0,-6.680162364979327
283341,-5.0,-6.680162364979327
286063,-5.0,-7.165993721197477
288786,-5.0,-7.165993721197477
291508,-5.0,-7.165993721197477
294232,-5.0,-7.165993721197477
296953,-5.0,-7.165993721197477
299677,-5.0,-7.165993721197477
302398,-5.0,-7.165993721197477
305122,-5.0,-7.165993721197477
307843,-5.0,-7.165993721197477
310567,-5.0,-7.165993721197477
