t_us,cmd_deg,meas_deg
2762,10.0,-12.024291915453329
5490,10.0,-12.024291915453329
8214,10.0,-12.024291915453329
10938,10.0,72.99595295100715
13663,10.0,72.99595295100715
16384,10.0,72.99595295100715
19105,10.0,38.016197756138
21829,10.0,38.016197756138
24550,10.0,38.016197756138
27270,10.0,13.238866890904117
29991,10.0,13.238866890904117
32713,10.0,13.238866890904117
35433,10.0,7.408907691759257
38153,10.0,7.408907691759257
40874,10.0,7.408907691759257
43600,10.0,7.408907691759257
46329,10.0,-5.708503067637615
49050,10.0,-5.708503067637615
51770,10.0,-5.708503067637615
54492,10.0,5.465589097075834
57216,10.0,5.465589097075834
59936,10.0,5.465589097075834
62656,10.0,7.408907691759257
65378,10.0,7.408907691759257
68099,10.0,7.408907691759257
70820,10.0,7.408907691759257
73540,10.0,7.408907691759257
76268,10.0,7.408907691759257
78994,10.0,7.408907691759257
81715,10.0,5.465589097075834
84435,10.0,5.465589097075834
87157,10.0,5.465589097075834
89884,10.0,5.465589097075834
92611,10.0,5.465589097075834
95332,10.0,5.465589097075834
98054,10.0,6.923076335541107
100774,10.0,6.923076335541107
103494,10.0,6.923076335541107
106214,10.0,6.923076335541107
108936,10.0,6.923076335541107
111662,10.0,6.923076335541107
114383,10.0,6.923076335541107
117103,10.0,6.437248394417546
119826,10.0,6.437248394417546
122546,10.0,6.437248394417546
125266,10.0,5.951417038199396
127986,10.0,5.951417038199396
130709,10.0,5.951417038199396
133431,10.0,6.923076335541107
136152,10.0,6.923076335541107
138872,10.0,6.923076335541107
141594,10.0,5.951417038199396
144321,10.0,5.951417038199396
147043,10.0,5.951417038199396
149763,10.0,5.951417038199396
152485,10.0,6.923076335541107
155205,10.0,6.923076335541107
157931,10.0,6.923076335541107
160651,10.0,7.408907691759257
163373,10.0,7.408907691759257
166093,10.0,7.408907691759257
168813,10.0,6.923076335541107
171535,10.0,6.923076335541107
174257,10.0,6.923076335541107
176977,10.0,6.923076335541107
179699,10.0,6.923076335541107
182419,10.0,6.923076335541107
185141,10.0,6.923076335541107
187861,10.0,6.923076335541107
190582,10.0,6.923076335541107
193309,10.0,6.923076335541107
196034,10.0,6.923076335541107
198755,10.0,6.923076335541107
201475,10.0,6.923076335541107
204195,10.0,6.923076335541107
206917,10.0,6.923076335541107
209638,10.0,6.923076335541107
212362,10.0,6.437248394417546
215088,10.0,6.437248394417546
217810,10.0,6.437248394417546
220531,10.0,6.437248394417546
223251,10.0,6.923076335541107
225971,10.0,6.923076335541107
228693,10.0,6.923076335541107
231413,10.0,7.408907691759257
234139,10.0,7.408907691759257
236859,10.0,7.408907691759257
