t_us,cmd_deg,meas_deg
2764,-10.0,6.31769276304903
5495,-10.0,6.31769276304903
8222,-10.0,6.31769276304903
10951,-10.0,6.31769276304903
13676,-10.0,69.9999997511844
16410,-10.0,69.9999997511844
19135,-10.0,69.9999997511844
21865,-10.0,44.72924235936663
24591,-10.0,44.72924235936663
27319,-10.0,44.72924235936663
30047,-10.0,26.534301408578916
32771,-10.0,26.534301408578916
35494,-10.0,26.534301408578916
38216,-10.0,10.866421170556782
40939,-10.0,10.866421170556782
43662,-10.0,10.866421170556782
46384,-10.0,10.866421170556782
49115,-10.0,5.306858915677948
51838,-10.0,5.306858915677948
54561,-10.0,5.306858915677948
57285,-10.0,3.7906115597159116
60010,-10.0,3.7906115597159116
62733,-10.0,3.7906115597159116
65457,-10.0,-1.2635371865719704
68179,-10.0,-1.2635371865719704
70902,-10.0,-1.2635371865719704
73625,-10.0,-4.296025068306864
76349,-10.0,-4.296025068306864
79072,-10.0,-4.296025068306864
81796,-10.0,-4.296025068306864
84533,-10.0,-9.855594153374877
87263,-10.0,-9.855594153374877
89987,-10.0,-9.855594153374877
92717,-10.0,-12.382675356707995
95440,-10.0,-12.382675356707995
98165,-10.0,-12.382675356707995
100895,-10.0,-13.898919297575443
103623,-10.0,-13.898919297575443
106352,-10.0,-13.898919297575443
109081,-10.0,-14.404332806166396
111804,-10.0,-14.404332806166396
114530,-10.0,-14.404332806166396
117252,-10.0,-14.404332806166396
119976,-10.0,-15.920576747033842
122698,-10.0,-15.920576747033842
125420,-10.0,-15.920576747033842
128143,-10.0,-13.898919297575443
130866,-10.0,-13.898919297575443
133588,-10.0,-13.898919297575443
136311,-10.0,-14.404332806166396
139033,-10.0,-14.404332806166396
141756,-10.0,-14.404332806166396
144478,-10.0,-13.393498958795313
147201,-10.0,-13.393498958795313
149923,-10.0,-13.393498958795313
152646,-10.0,-13.393498958795313
155368,-10.0,-12.88808545020436
158097,-10.0,-12.88808545020436
160820,-10.0,-12.88808545020436
163543,-10.0,-13.898919297575443
166265,-10.0,-13.898919297575443
168988,-10.0,-13.898919297575443
171710,-10.0,-12.382675356707995
174434,-10.0,-12.382675356707995
177155,-10.0,-12.382675356707995
179879,-10.0,-12.88808545020436
182601,-10.0,-12.88808545020436
185324,-10.0,-12.88808545020436
188046,-10.0,-11.877255017927865
190769,-10.0,-11.877255017927865
193491,-10.0,-11.877255017927865
196216,-10.0,-11.877255017927865
198938,-10.0,-12.88808545020436
201666,-10.0,-12.88808545020436
204388,-10.0,-12.88808545020436
207118,-10.0,-12.88808545020436
209842,-10.0,-12.88808545020436
212567,-10.0,-12.88808545020436
215290,-10.0,-12.88808545020436
218014,-10.0,-12.88808545020436
220738,-10.0,-12.88808545020436
223466,-10.0,-14.909746314757347
226194,-10.0,-14.909746314757347
228924,-10.0,-14.909746314757347
