t_us,cmd_deg,meas_deg
2754,-5.0,9.500000844399349
5481,-5.0,9.500000844399349
8204,-5.0,-37.49999937883527
10930,-5.0,-37.49999937883527
13653,-5.0,-37.49999937883527
16376,-5.0,-16.99999935412857
19097,-5.0,-16.99999935412857
21821,-5.0,-16.99999935412857
24549,-5.0,-12.499997516215364
27272,-5.0,-12.499997516215364
29992,-5.0,-12.499997516215364
32715,-5.0,-12.499997516215364
35436,-5.0,-8.499996261969695
38157,-5.0,-8.499996261969695
40876,-5.0,-8.499996261969695
43599,-5.0,-1.9999955044809516
46325,-5.0,-1.9999955044809516
49055,-5.0,-1.9999955044809516
51776,-5.0,3.4150945889086897e-06
54499,-5.0,3.4150945889086897e-06
57221,-5.0,3.4150945889086897e-06
59942,-5.0,-0.9999977522404758
62662,-5.0,-0.9999977522404758
65384,-5.0,-0.9999977522404758
68104,-5.0,-0.9999977522404758
70825,-5.0,3.4150945889086897e-06
73546,-5.0,3.4150945889086897e-06
76278,-5.0,3.4150945889086897e-06
79011,-5.0,-0.9999977522404758
81735,-5.0,-0.9999977522404758
84457,-5.0,-0.9999977522404758
87181,-5.0,-1.4999983359080082
89902,-5.0,-1.4999983359080082
92624,-5.0,-1.4999983359080082
95345,-5.0,-1.4999983359080082
98067,-5.0,-1.4999983359080082
100788,-5.0,-1.4999983359080082
103508,-5.0,-1.4999983359080082
106229,-5.0,-0.9999977522404758
108951,-5.0,-0.9999977522404758
111671,-5.0,-0.9999977522404758
114392,-5.0,-0.9999977522404758
117117,-5.0,-0.9999977522404758
119839,-5.0,-0.9999977522404758
122559,-5.0,-0.9999977522404758
125280,-5.0,-0.9999977522404758
128006,-5.0,-0.9999977522404758
130728,-5.0,-0.9999977522404758
133448,-5.0,-0.9999977522404758
136169,-5.0,-0.9999977522404758
138896,-5.0,-0.9999977522404758
141618,-5.0,-0.9999977522404758
144346,-5.0,-0.9999977522404758
147068,-5.0,-0.9999977522404758
149788,-5.0,-0.49999716857294346
152515,-5.0,-0.49999716857294346
155241,-5.0,-0.49999716857294346
157967,-5.0,-0.9999977522404758
160698,-5.0,-0.9999977522404758
163425,-5.0,-0.9999977522404758
166147,-5.0,-0.9999977522404758
168868,-5.0,-0.9999977522404758
171589,-5.0,-0.9999977522404758
174311,-5.0,-0.9999977522404758
177037,-5.0,-1.4999983359080082
179759,-5.0,-1.4999983359080082
182479,-5.0,-1.4999983359080082
