t_us,cmd_deg,meas_deg
2777,-10.0,5.729538342757998
5515,-10.0,5.729538342757998
8245,-10.0,5.729538342757998
10973,-10.0,5.729538342757998
13700,-10.0,5.729538342757998
16431,-10.0,37.61565497218326
19153,-10.0,37.61565497218326
21876,-10.0,37.61565497218326
24598,-10.0,21.67259324237604
27320,-10.0,21.67259324237604
30041,-10.0,21.67259324237604
32762,-10.0,6.2277596621447096
35482,-10.0,6.2277596621447096
38209,-10.0,6.2277596621447096
40935,-10.0,6.2277596621447096
43656,-10.0,5.231317023371287
46376,-10.0,5.231317023371287
49098,-10.0,5.231317023371287
51824,-10.0,-1.2455532984667774
54544,-10.0,-1.2455532984667774
57265,-10.0,-1.2455532984667774
59989,-10.0,-4.234874384597865
62714,-10.0,-4.234874384597865
65435,-10.0,-4.234874384597865
68154,-10.0,-11.209966025822641
70877,-10.0,-11.209966025822641
73597,-10.0,-11.209966025822641
76317,-10.0,-12.206408664596063
79038,-10.0,-12.206408664596063
81757,-10.0,-12.206408664596063
84478,-10.0,-12.206408664596063
87201,-10.0,-12.704623153793596
89928,-10.0,-12.704623153793596
92652,-10.0,-12.704623153793596
95372,-10.0,-13.701069207661607
98093,-10.0,-13.701069207661607
100813,-10.0,-13.701069207661607
103535,-10.0,-15.19572975072715
106256,-10.0,-15.19572975072715
108975,-10.0,-15.19572975072715
111695,-10.0,-15.19572975072715
114419,-10.0,-15.19572975072715
117145,-10.0,-15.19572975072715
119866,-10.0,-15.19572975072715
122586,-10.0,-14.199287111953728
125308,-10.0,-14.199287111953728
128028,-10.0,-14.199287111953728
130748,-10.0,-13.701069207661607
133468,-10.0,-13.701069207661607
136190,-10.0,-13.701069207661607
138910,-10.0,-13.701069207661607
141630,-10.0,-13.701069207661607
144350,-10.0,-13.701069207661607
147073,-10.0,-13.701069207661607
149793,-10.0,-13.202847888274896
152521,-10.0,-13.202847888274896
155242,-10.0,-13.202847888274896
157964,-10.0,-14.199287111953728
160689,-10.0,-14.199287111953728
163412,-10.0,-14.199287111953728
166133,-10.0,-12.704623153793596
168854,-10.0,-12.704623153793596
171577,-10.0,-12.704623153793596
174296,-10.0,-13.202847888274896
177016,-10.0,-13.202847888274896
179740,-10.0,-13.202847888274896
182467,-10.0,-13.701069207661607
185187,-10.0,-13.701069207661607
187907,-10.0,-13.701069207661607
190630,-10.0,-13.701069207661607
193358,-10.0,-14.199287111953728
196085,-10.0,-14.199287111953728
198806,-10.0,-14.199287111953728
201529,-10.0,-13.701069207661607
204250,-10.0,-13.701069207661607
206974,-10.0,-13.701069207661607
209694,-10.0,-14.199287111953728
212420,-10.0,-14.199287111953728
215141,-10.0,-14.199287111953728
217864,-10.0,-13.701069207661607
220584,-10.0,-13.701069207661607
223305,-10.0,-13.701069207661607
226025,-10.0,-13.701069207661607
228745,-10.0,-13.701069207661607
231465,-10.0,-13.701069207661607
234185,-10.0,-13.701069207661607
236905,-10.0,-14.199287111953728
239626,-10.0,-14.199287111953728
242345,-10.0,-14.199287111953728
