t_us,cmd_deg,meas_deg
2752,-5.0,1.5413551313796925
5479,-5.0,1.5413551313796925
8203,-5.0,1.5413551313796925
10926,-5.0,20.60150346607825
13648,-5.0,20.60150346607825
16369,-5.0,20.60150346607825
19090,-5.0,16.20300848463118
21819,-5.0,16.20300848463118
24539,-5.0,16.20300848463118
27260,-5.0,16.20300848463118
29980,-5.0,10.827069035608787
32707,-5.0,10.827069035608787
35433,-5.0,10.827069035608787
38154,-5.0,1.5413551313796925
40875,-5.0,1.5413551313796925
43597,-5.0,1.5413551313796925
46323,-5.0,0.5639106638043696
49044,-5.0,0.5639106638043696
51764,-5.0,0.5639106638043696
54486,-5.0,-4.812028785218023
57215,-5.0,-4.812028785218023
59941,-5.0,-4.812028785218023
62661,-5.0,-4.812028785218023
65383,-5.0,-7.255638246609036
68103,-5.0,-7.255638246609036
70824,-5.0,-7.255638246609036
73544,-5.0,-7.744358772849402
76266,-5.0,-7.744358772849402
78992,-5.0,-7.744358772849402
81713,-5.0,-7.744358772849402
84433,-5.0,-7.744358772849402
87155,-5.0,-7.744358772849402
89882,-5.0,-8.23308271418436
92610,-5.0,-8.23308271418436
95330,-5.0,-8.23308271418436
98051,-5.0,-8.23308271418436
100771,-5.0,-8.23308271418436
103492,-5.0,-8.23308271418436
106218,-5.0,-8.23308271418436
108940,-5.0,-7.744358772849402
111661,-5.0,-7.744358772849402
114382,-5.0,-7.744358772849402
117103,-5.0,-7.744358772849402
119825,-5.0,-7.744358772849402
122545,-5.0,-7.744358772849402
125266,-5.0,-7.744358772849402
127986,-5.0,-7.744358772849402
130708,-5.0,-7.744358772849402
133429,-5.0,-7.744358772849402
136151,-5.0,-8.23308271418436
138872,-5.0,-8.23308271418436
141593,-5.0,-8.23308271418436
144313,-5.0,-6.76691430527408
147034,-5.0,-6.76691430527408
149754,-5.0,-6.76691430527408
152476,-5.0,-8.23308271418436
155202,-5.0,-8.23308271418436
157923,-5.0,-8.23308271418436
160643,-5.0,-7.744358772849402
163365,-5.0,-7.744358772849402
166085,-5.0,-7.744358772849402
168806,-5.0,-7.744358772849402
171528,-5.0,-7.255638246609036
174250,-5.0,-7.255638246609036
176971,-5.0,-7.255638246609036
179693,-5.0,-8.721803240424725
182413,-5.0,-8.721803240424725
185135,-5.0,-8.721803240424725
187855,-5.0,-7.744358772849402
190582,-5.0,-7.744358772849402
193303,-5.0,-7.744358772849402
196024,-5.0,-7.744358772849402
198745,-5.0,-7.744358772849402
201466,-5.0,-7.744358772849402
204186,-5.0,-7.744358772849402
206908,-5.0,-6.76691430527408
209633,-5.0,-6.76691430527408
212362,-5.0,-6.76691430527408
215090,-5.0,-7.744358772849402
217812,-5.0,-7.744358772849402
220532,-5.0,-7.744358772849402
223254,-5.0,-7.255638246609036
225979,-5.0,-7.255638246609036
228701,-5.0,-7.255638246609036
231422,-5.0,-7.744358772849402
234142,-5.0,-7.744358772849402
236862,-5.0,-7.744358772849402
239585,-5.0,-7.744358772849402
242305,-5.0,-6.76691430527408
245025,-5.0,-6.76691430527408
247745,-5.0,-6.76691430527408
250467,-5.0,-7.255638246609036
253187,-5.0,-7.255638246609036
255909,-5.0,-7.255638246609036
258631,-5.0,-6.76691430527408
261353,-5.0,-6.76691430527408
264074,-5.0,-6.76691430527408
266794,-5.0,-7.255638246609036
269527,-5.0,-7.255638246609036
272251,-5.0,-7.255638246609036
274972,-5.0,-7.255638246609036
277692,-5.0,-8.23308271418436
280413,-5.0,-8.23308271418436
283140,-5.0,-8.23308271418436
285861,-5.0,-7.744358772849402
288581,-5.0,-7.744358772849402
291302,-5.0,-7.744358772849402
294030,-5.0,-7.255638246609036
296757,-5.0,-7.255638246609036
299482,-5.0,-7.255638246609036
302208,-5.0,-8.23308271418436
304928,-5.0,-8.23308271418436
307648,-5.0,-8.23308271418436
310368,-5.0,-8.23308271418436
313088,-5.0,-7.255638246609036
315809,-5.0,-7.255638246609036
318530,-5.0,-7.255638246609036
321250,-5.0,-7.744358772849402
323969,-5.0,-7.744358772849402
326691,-5.0,-7.744358772849402
329411,-5.0,-6.278193779033713
332131,-5.0,-6.278193779033713
334851,-5.0,-6.278193779033713
337573,-5.0,-6.76691430527408
340294,-5.0,-6.76691430527408
343014,-5.0,-6.76691430527408
345734,-5.0,-7.744358772849402
348461,-5.0,-7.744358772849402
351188,-5.0,-7.744358772849402
353909,-5.0,-7.744358772849402
356629,-5.0,-6.278193779033713
359351,-5.0,-6.278193779033713
362077,-5.0,-6.278193779033713
364798,-5.0,-6.76691430527408
367525,-5.0,-6.76691430527408
370247,-5.0,-6.76691430527408
372968,-5.0,-6.76691430527408
375688,-5.0,-6.76691430527408
378408,-5.0,-6.76691430527408
381130,-5.0,-6.278193779033713
383850,-5.0,-6.278193779033713
386571,-5.0,-6.278193779033713
389291,-5.0,-6.278193779033713
392013,-5.0,-7.744358772849402
394733,-5.0,-7.744358772849402
397459,-5.0,-7.744358772849402
400179,-5.0,-6.76691430527408
402901,-5.0,-6.76691430527408
405621,-5.0,-6.76691430527408
408342,-5.0,-6.76691430527408
411062,-5.0,-6.76691430527408
413784,-5.0,-6.76691430527408
416509,-5.0,-7.744358772849402
419237,-5.0,-7.744358772849402
421957,-5.0,-7.744358772849402
424679,-5.0,-7.744358772849402
427399,-5.0,-7.255638246609036
430119,-5.0,-7.255638246609036
432840,-5.0,-7.255638246609036
435561,-5.0,-6.76691430527408
438288,-5.0,-6.76691430527408
441008,-5.0,-6.76691430527408
443728,-5.0,-6.278193779033713
446451,-5.0,-6.278193779033713
449171,-5.0,-6.278193779033713
451892,-5.0,-6.76691430527408
454612,-5.0,-6.76691430527408
457334,-5.0,-6.76691430527408
460054,-5.0,-6.76691430527408
462774,-5.0,-6.76691430527408
465494,-5.0,-6.76691430527408
468221,-5.0,-6.76691430527408
470941,-5.0,-7.744358772849402
473663,-5.0,-7.744358772849402
476383,-5.0,-7.744358772849402
479104,-5.0,-7.255638246609036
481829,-5.0,-7.255638246609036
484550,-5.0,-7.255638246609036
487270,-5.0,-7.255638246609036
489992,-5.0,-7.255638246609036
492712,-5.0,-7.255638246609036
495432,-5.0,-7.255638246609036
498153,-5.0,-7.255638246609036
500874,-5.0,-7.255638246609036
503594,-5.0,-7.255638246609036
506314,-5.0,-6.76691430527408
509034,-5.0,-6.76691430527408
511755,-5.0,-6.76691430527408
514476,-5.0,-7.255638246609036
517196,-5.0,-7.255638246609036
519916,-5.0,-7.255638246609036
522643,-5.0,-7.744358772849402
525363,-5.0,-7.744358772849402
528083,-5.0,-7.744358772849402
530804,-5.0,-7.744358772849402
533527,-5.0,-7.744358772849402
536248,-5.0,-7.744358772849402
538968,-5.0,-7.744358772849402
541694,-5.0,-7.744358772849402
544415,-5.0,-7.744358772849402
547135,-5.0,-7.744358772849402
549856,-5.0,-7.255638246609036
552578,-5.0,-7.255638246609036
555300,-5.0,-7.255638246609036
558021,-5.0,-6.76691430527408
560741,-5.0,-6.76691430527408
563461,-5.0,-6.76691430527408
566186,-5.0,-6.76691430527408
568907,-5.0,-7.255638246609036
571627,-5.0,-7.255638246609036
574347,-5.0,-7.255638246609036
577069,-5.0,-6.76691430527408
579789,-5.0,-6.76691430527408
582509,-5.0,-6.76691430527408
585238,-5.0,-6.76691430527408
587965,-5.0,-6.76691430527408
590685,-5.0,-6.76691430527408
593405,-5.0,-6.76691430527408
596125,-5.0,-6.76691430527408
598847,-5.0,-6.76691430527408
601567,-5.0,-6.76691430527408
604287,-5.0,-7.255638246609036
607008,-5.0,-7.255638246609036
609729,-5.0,-7.255638246609036
612449,-5.0,-7.255638246609036
615169,-5.0,-7.255638246609036
617889,-5.0,-7.255638246609036
620617,-5.0,-7.255638246609036
623337,-5.0,-7.255638246609036
626057,-5.0,-7.255638246609036
628777,-5.0,-6.76691430527408
631499,-5.0,-6.76691430527408
634225,-5.0,-6.76691430527408
636946,-5.0,-6.76691430527408
639667,-5.0,-7.744358772849402
642388,-5.0,-7.744358772849402
645108,-5.0,-7.744358772849402
647828,-5.0,-6.76691430527408
650548,-5.0,-6.76691430527408
653270,-5.0,-6.76691430527408
655990,-5.0,-7.255638246609036
658710,-5.0,-7.255638246609036
661430,-5.0,-7.255638246609036
664152,-5.0,-7.255638246609036
666872,-5.0,-7.255638246609036
669593,-5.0,-7.255638246609036
672319,-5.0,-7.255638246609036
675040,-5.0,-7.744358772849402
677760,-5.0,-7.744358772849402
680480,-5.0,-7.744358772849402
683201,-5.0,-6.278193779033713
685922,-5.0,-6.278193779033713
688643,-5.0,-6.278193779033713
691363,-5.0,-7.255638246609036
694083,-5.0,-7.255638246609036
696805,-5.0,-7.255638246609036
699526,-5.0,-7.255638246609036
702246,-5.0,-7.255638246609036
704967,-5.0,-7.255638246609036
707689,-5.0,-7.255638246609036
710409,-5.0,-7.744358772849402
713132,-5.0,-7.744358772849402
715852,-5.0,-7.744358772849402
718574,-5.0,-6.76691430527408
721295,-5.0,-6.76691430527408
724015,-5.0,-6.76691430527408
726737,-5.0,-5.7894732527933455
729458,-5.0,-5.7894732527933455
732179,-5.0,-5.7894732527933455
734900,-5.0,-7.255638246609036
737620,-5.0,-7.255638246609036
740341,-5.0,-7.255638246609036
743062,-5.0,-7.255638246609036
745784,-5.0,-7.255638246609036
748504,-5.0,-7.255638246609036
751237,-5.0,-7.255638246609036
753957,-5.0,-5.7894732527933455
756678,-5.0,-5.7894732527933455
759398,-5.0,-5.7894732527933455
762119,-5.0,-7.255638246609036
764840,-5.0,-7.255638246609036
767563,-5.0,-7.255638246609036
770283,-5.0,-7.255638246609036
773005,-5.0,-7.255638246609036
775725,-5.0,-7.255638246609036
778445,-5.0,-7.255638246609036
781165,-5.0,-6.278193779033713
783887,-5.0,-6.278193779033713
786607,-5.0,-6.278193779033713
789327,-5.0,-6.76691430527408
792047,-5.0,-6.76691430527408
794769,-5.0,-6.76691430527408
797489,-5.0,-7.255638246609036
800215,-5.0,-7.255638246609036
802936,-5.0,-7.255638246609036
805657,-5.0,-7.255638246609036
808378,-5.0,-6.76691430527408
811098,-5.0,-6.76691430527408
813818,-5.0,-6.76691430527408
816540,-5.0,-7.255638246609036
819266,-5.0,-7.255638246609036
821995,-5.0,-7.255638246609036
824715,-5.0,-6.76691430527408
827435,-5.0,-6.76691430527408
830156,-5.0,-6.76691430527408
832875,-5.0,-7.744358772849402
835595,-5.0,-7.744358772849402
838317,-5.0,-7.744358772849402
841037,-5.0,-7.744358772849402
843758,-5.0,-6.278193779033713
846479,-5.0,-6.278193779033713
849200,-5.0,-6.278193779033713
851921,-5.0,-6.76691430527408
854641,-5.0,-6.76691430527408
857361,-5.0,-6.76691430527408
860082,-5.0,-8.23308271418436
862808,-5.0,-8.23308271418436
865529,-5.0,-8.23308271418436
868250,-5.0,-6.76691430527408
870972,-5.0,-6.76691430527408
873698,-5.0,-6.76691430527408
876418,-5.0,-6.76691430527408
879138,-5.0,-7.255638246609036
881860,-5.0,-7.255638246609036
884580,-5.0,-7.255638246609036
887301,-5.0,-6.76691430527408
890021,-5.0,-6.76691430527408
892743,-5.0,-6.76691430527408
895463,-5.0,-5.7894732527933455
898183,-5.0,-5.7894732527933455
900903,-5.0,-5.7894732527933455
903625,-5.0,-7.255638246609036
906349,-5.0,-7.255638246609036
909069,-5.0,-7.255638246609036
911790,-5.0,-6.76691430527408
914520,-5.0,-6.76691430527408
917242,-5.0,-6.76691430527408
919967,-5.0,-6.76691430527408
922687,-5.0,-7.744358772849402
925408,-5.0,-7.744358772849402
928129,-5.0,-7.744358772849402
930850,-5.0,-7.255638246609036
933570,-5.0,-7.255638246609036
936293,-5.0,-7.255638246609036
939018,-5.0,-7.744358772849402
941739,-5.0,-7.744358772849402
944459,-5.0,-7.744358772849402
947180,-5.0,-6.76691430527408
949901,-5.0,-6.76691430527408
952621,-5.0,-6.76691430527408
955342,-5.0,-6.76691430527408
958063,-5.0,-6.76691430527408
960783,-5.0,-6.76691430527408
963505,-5.0,-6.76691430527408
966232,-5.0,-6.278193779033713
968954,-5.0,-6.278193779033713
971675,-5.0,-6.278193779033713
974398,-5.0,-6.76691430527408
977119,-5.0,-6.76691430527408
979840,-5.0,-6.76691430527408
982560,-5.0,-6.76691430527408
985281,-5.0,-6.76691430527408
988002,-5.0,-6.76691430527408
990723,-5.0,-6.76691430527408
993449,-5.0,-7.255638246609036
996170,-5.0,-7.255638246609036
998889,-5.0,-7.255638246609036
1001611,-5.0,-6.76691430527408
1004331,-5.0,-6.76691430527408
1007052,-5.0,-6.76691430527408
1009772,-5.0,-6.278193779033713
1012494,-5.0,-6.278193779033713
1015220,-5.0,-6.278193779033713
1017940,-5.0,-6.278193779033713
1020660,-5.0,-6.278193779033713
1023381,-5.0,-6.278193779033713
1026102,-5.0,-6.278193779033713
1028822,-5.0,-5.7894732527933455
1031542,-5.0,-5.7894732527933455
1034264,-5.0,-5.7894732527933455
1036985,-5.0,-6.76691430527408
1039705,-5.0,-6.76691430527408
1042425,-5.0,-6.76691430527408
1045147,-5.0,-7.255638246609036
1047867,-5.0,-7.255638246609036
1050587,-5.0,-7.255638246609036
1053307,-5.0,-6.76691430527408
1056029,-5.0,-6.76691430527408
1058749,-5.0,-6.76691430527408
1061469,-5.0,-6.76691430527408
1064190,-5.0,-6.76691430527408
1066916,-5.0,-6.76691430527408
1069643,-5.0,-6.76691430527408
1072363,-5.0,-6.76691430527408
1075083,-5.0,-6.76691430527408
1077806,-5.0,-6.76691430527408
1080527,-5.0,-7.255638246609036
1083247,-5.0,-7.255638246609036
1085967,-5.0,-7.255638246609036
1088696,-5.0,-7.255638246609036
1091422,-5.0,-7.255638246609036
1094143,-5.0,-7.255638246609036
1096863,-5.0,-6.76691430527408
1099586,-5.0,-6.76691430527408
1102312,-5.0,-6.76691430527408
1105033,-5.0,-6.76691430527408
1107753,-5.0,-6.76691430527408
1110475,-5.0,-6.76691430527408
1113202,-5.0,-6.76691430527408
1115922,-5.0,-7.255638246609036
1118642,-5.0,-7.255638246609036
1121363,-5.0,-7.255638246609036
1124084,-5.0,-6.278193779033713
1126804,-5.0,-6.278193779033713
1129526,-5.0,-6.278193779033713
1132248,-5.0,-7.744358772849402
1134968,-5.0,-7.744358772849402
1137688,-5.0,-7.744358772849402
1140408,-5.0,-7.744358772849402
1143130,-5.0,-6.76691430527408
1145853,-5.0,-6.76691430527408
1148574,-5.0,-6.76691430527408
1151294,-5.0,-6.76691430527408
1154016,-5.0,-6.76691430527408
1156743,-5.0,-6.76691430527408
1159463,-5.0,-7.255638246609036
1162183,-5.0,-7.255638246609036
1164905,-5.0,-7.255638246609036
1167625,-5.0,-6.76691430527408
1170346,-5.0,-6.76691430527408
1173066,-5.0,-6.76691430527408
1175786,-5.0,-6.76691430527408
1178506,-5.0,-6.76691430527408
1181234,-5.0,-6.76691430527408
1183955,-5.0,-6.76691430527408
1186676,-5.0,-6.76691430527408
1189396,-5.0,-6.76691430527408
1192117,-5.0,-6.76691430527408
1194837,-5.0,-6.278193779033713
1197559,-5.0,-6.278193779033713
1200285,-5.0,-6.278193779033713
1203005,-5.0,-7.255638246609036
1205725,-5.0,-7.255638246609036
1208447,-5.0,-7.255638246609036
1211168,-5.0,-7.255638246609036
1213888,-5.0,-8.23308271418436
1216608,-5.0,-8.23308271418436
1219330,-5.0,-8.23308271418436
1222051,-5.0,-5.300752726552979
1224776,-5.0,-5.300752726552979
1227497,-5.0,-5.300752726552979
1230224,-5.0,-7.744358772849402
1232945,-5.0,-7.744358772849402
1235665,-5.0,-7.744358772849402
1238385,-5.0,-6.76691430527408
1241107,-5.0,-6.76691430527408
1243827,-5.0,-6.76691430527408
1246548,-5.0,-6.76691430527408
1249268,-5.0,-8.721803240424725
1251989,-5.0,-8.721803240424725
1254716,-5.0,-8.721803240424725
1257436,-5.0,-6.278193779033713
1260156,-5.0,-6.278193779033713
1262879,-5.0,-6.278193779033713
1265599,-5.0,-6.76691430527408
1268319,-5.0,-6.76691430527408
1271039,-5.0,-6.76691430527408
1273761,-5.0,-7.255638246609036
1276481,-5.0,-7.255638246609036
1279201,-5.0,-7.255638246609036
1281921,-5.0,-7.255638246609036
1284643,-5.0,-7.255638246609036
