Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
BaseLink,6.5192E-05,-3.7379E-06,-0.0039004,0,0,0,1.1478,0.0025969,7.6802E-12,-7.2398E-05,0.0045,4.4606E-12,0.0069271,0,0,0,0,0,0,package://FullBotTest2URDF.SLDASM/meshes/BaseLink.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://FullBotTest2URDF.SLDASM/meshes/BaseLink.STL,,ChassisRoman2meral-1,CenterCS,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FLUpperHipLink,0.0031695,2.5708E-05,0.0080334,0,0,0,0.080676,1.9012E-05,1.3316E-11,3.9057E-07,1.7088E-05,-7.8407E-10,1.2575E-05,0,0,0,0,0,0,package://FullBotTest2URDF.SLDASM/meshes/FLUpperHipLink.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://FullBotTest2URDF.SLDASM/meshes/FLUpperHipLink.STL,,LegHip-1,UpperHipFLCS,UpperHipFLAxis,FLUpperJoint,revolute,0.166448515594364,0.150445534569728,-0.0104353066084669,0,0,0,BaseLink,1,0,0,0,0,0,0,,,,,,,,
FLLowerHipLink,0.0031718,0.00024545,-0.0075193,0,0,0,0.1282,3.8463E-05,2.4145E-07,-9.7233E-06,5.9344E-05,-1.1421E-07,3.3436E-05,0,0,0,0,0,0,package://FullBotTest2URDF.SLDASM/meshes/FLLowerHipLink.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://FullBotTest2URDF.SLDASM/meshes/FLLowerHipLink.STL,,LegKnee-1,LowerHipFLCS,LowerHipFLAxis,FLLowerHipJoint,revolute,-0.00986137017177624,0.004106043362055,-0.047323311631616,0,0,0,FLUpperHipLink,-1.59863820462646E-05,-0.999999542490037,0.00095643303604682,0,0,0,0,,,,,,,,
FLKneeLink,0.025035,0.0072628,-0.045279,0,0,0,0.13883,0.00014054,9.778E-07,5.6547E-05,0.00017391,-1.8167E-06,5.2732E-05,0,0,0,0,0,0,package://FullBotTest2URDF.SLDASM/meshes/FLKneeLink.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://FullBotTest2URDF.SLDASM/meshes/FLKneeLink.STL,,LegLeg-1,KneeFLCS,KneeFLAxis,FLKneeJoint,revolute,-0.0305542637867021,-4.88994104665963E-05,-0.0516375306661767,0,0,0,FLLowerHipLink,-1.59863820459909E-05,-0.999999542490037,0.000956433036030448,0,0,0,0,,,,,,,,
FRUpperHipLink,0.0036639,2.5708E-05,0.0084262,0,0,0,0.080676,1.9012E-05,1.3304E-11,3.9057E-07,1.7088E-05,-7.8406E-10,1.2575E-05,0,0,0,0,0,0,package://FullBotTest2URDF.SLDASM/meshes/FRUpperHipLink.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://FullBotTest2URDF.SLDASM/meshes/FRUpperHipLink.STL,,LegHip-4,UpperHipFRCS,UpperHipFLAxis,FRUpperHipJoint,revolute,0.16595413806251,-0.150454465430272,-0.0108280445176236,0,0,0,BaseLink,1,0,0,0,0,0,0,,,,,,,,
FRLowerHipLink,-0.014129,-0.00025961,-0.0074696,0,0,0,0.1282,3.7263E-05,2.3773E-07,-1.0364E-05,5.9344E-05,7.4443E-08,3.4636E-05,0,0,0,0,0,0,package://FullBotTest2URDF.SLDASM/meshes/FRLowerHipLink.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://FullBotTest2URDF.SLDASM/meshes/FRLowerHipLink.STL,,LegKnee-4,LowerHipFRCS,LowerHipFRAxis,FRLowerHipJoint,revolute,0.0109300395602728,-0.00419550822049697,-0.0465833751657271,0,0,0,FRUpperHipLink,1.59863820458575E-05,0.999999542490037,-0.000956433036047052,0,0,0,0,,,,,,,,
FRKneeLink,0.028221,0.0072646,-0.043365,0,0,0,0.13883,0.00013198,1.1031E-06,6.2252E-05,0.00017391,-1.7379E-06,6.1284E-05,0,0,0,0,0,0,package://FullBotTest2URDF.SLDASM/meshes/FRKneeLink.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://FullBotTest2URDF.SLDASM/meshes/FRKneeLink.STL,,LegLeg-4,KneeFRCS,KneeFRAxis,FRKneeJoint,revolute,-0.0336140084544684,-4.69974368977333E-05,-0.0497000626138108,0,0,0,FRLowerHipLink,-1.59863820458662E-05,-0.999999542490037,0.000956433036047568,0,0,0,0,,,,,,,,
BLUpperHipLink,-0.0031695,0.00047429,0.0081087,0,0,0,0.080676,1.9012E-05,1.3304E-11,-3.9057E-07,1.7088E-05,7.8406E-10,1.2575E-05,0,0,0,0,0,0,package://FullBotTest2URDF.SLDASM/meshes/BLUpperHipLink.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://FullBotTest2URDF.SLDASM/meshes/BLUpperHipLink.STL,,LegHip-6,UpperHipBLCS,UpperHipBLAxis,BLUpperHipJoint,revolute,-0.166002604208965,0.150445534569728,-0.016167388356793,0,-0.0334260590095889,0,BaseLink,0.9998603405733,0,-0.0167122514535105,0,0,0,0,,,,,,,,
BLLowerHipLink,0.012719,0.00084989,-0.0083278,0,0,0,0.1282,4.0252E-05,2.3939E-07,8.572E-06,5.9344E-05,-7.1555E-08,3.1647E-05,0,0,0,0,0,0,package://FullBotTest2URDF.SLDASM/meshes/BLLowerHipLink.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://FullBotTest2URDF.SLDASM/meshes/BLLowerHipLink.STL,,LegKnee-3,LowerHipBLCS,LowerHipBLAxis,BLLowerHipJoint,revolute,-0.0104346502848324,0.00410601321117743,-0.0468402973556113,0,0,0,BLUpperHipLink,-1.59863820458257E-05,-0.999999542490037,-0.000956433036046832,0,0,0,0,,,,,,,,
BLKneeLink,-0.018931,-0.0065678,-0.041961,0,0,0,0.13883,0.00013786,1.019E-06,-5.8528E-05,0.00017391,1.7922E-06,5.541E-05,0,0,0,0,0,0,package://FullBotTest2URDF.SLDASM/meshes/BLKneeLink.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://FullBotTest2URDF.SLDASM/meshes/BLKneeLink.STL,,LegLeg-3,KneeBLCS,KneeBLAxis,BLKneeJoint,revolute,0.0181858082501283,-5.43902489529291E-05,-0.0571717488700233,0,0,0,BLLowerHipLink,1.59863820455947E-05,0.999999542490037,0.000956433036032658,0,0,0,0,,,,,,,,
