Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
BaseLink,7.3348E-05,-0.00013963,-0.0079498,0,0,0,1.0503,0.0013377,4.0693E-08,-6.931E-15,0.0021376,7.0463E-12,0.0032818,0,0,0,0,0,0,package://FinalURDF.SLDASM/meshes/BaseLink.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://FinalURDF.SLDASM/meshes/BaseLink.STL,,ChassisRoman2meralFinal-1;FRMount-1;FLMount-1;BLMount-1;BRMount-1,CenterCS,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FRHip,0.00092086,0.0053269,-0.038601,0,0,0,0.11316,2.1528E-05,2.5735E-07,5.1753E-08,3.5986E-05,-9.3758E-08,2.71E-05,0,0,0,0,0,0,package://FinalURDF.SLDASM/meshes/FRHip.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://FinalURDF.SLDASM/meshes/FRHip.STL,,FRHip-2,FRHipCS,FRHipAxis,FRHipJoint,revolute,0.1045,-0.099089,-0.035652,0,0,0,BaseLink,-1,0,0,0,0,0,0,,,,,,,,
FRThigh,-0.014685,-3.4417E-15,-0.02616,0,0,0,0.043631,2.1705E-05,-1.7085E-20,-9.4139E-06,3.1171E-05,-4.0117E-20,1.0219E-05,0,0,0,0,0,0,package://FinalURDF.SLDASM/meshes/FRThigh.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://FinalURDF.SLDASM/meshes/FRThigh.STL,,FRThigh-2,FRThighCS,FRThighAxis,FRThighJoint,revolute,-0.010143,0.0050417,-0.045931,0,0,0,FRHip,0,1,0,0,0,0,0,,,,,,,,
FRFoot,0.024442,0.0054487,-0.034356,0,0,0,0.1583,9.8867E-05,1.0084E-06,4.7129E-05,0.00013791,-1.4373E-06,5.9165E-05,0,0,0,0,0,0,package://FinalURDF.SLDASM/meshes/FRFoot.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://FinalURDF.SLDASM/meshes/FRFoot.STL,,FRFoot-1,FRFootCS,FRFootAxis,FRFootJoint,revolute,-0.02937,0,-0.05232,0,0,0,FRThigh,0,1,0,0,0,0,0,,,,,,,,
FLHip,0.00092086,-0.0053268,-0.038601,0,0,0,0.11316,2.1528E-05,-2.5731E-07,5.1759E-08,3.5986E-05,9.3773E-08,2.71E-05,0,0,0,0,0,0,package://FinalURDF.SLDASM/meshes/FLHip.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://FinalURDF.SLDASM/meshes/FLHip.STL,,FLHip-1,FLHipCS,FLHipAxis,FLHipJoint,revolute,0.1045,0.098749,-0.035742,0,0,0,BaseLink,-1,0,0,0,0,0,0,,,,,,,,
FLThigh,-0.014685,3.1225E-17,-0.02616,0,0,0,0.043631,2.1705E-05,5.1991E-21,-9.4139E-06,3.1171E-05,1.6216E-20,1.0219E-05,0,0,0,0,0,0,package://FinalURDF.SLDASM/meshes/FLThigh.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://FinalURDF.SLDASM/meshes/FLThigh.STL,,FLThigh-1,FLThighCS,FLThighAxis,FLThighJoint,revolute,-0.010143,-0.0050417,-0.045931,0,0,0,FLHip,0,1,0,0,0,0,0,,,,,,,,
FLFoot,0.024442,-0.0063159,-0.034446,0,0,0,0.1583,9.8867E-05,-1.0084E-06,4.7129E-05,0.00013791,1.4373E-06,5.9165E-05,0,0,0,0,0,0,package://FinalURDF.SLDASM/meshes/FLFoot.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://FinalURDF.SLDASM/meshes/FLFoot.STL,,FLFoot-2,FLFootCS,FLFootAxis,FLFootJoint,revolute,-0.02937,0,-0.05223,0,0,0,FLThigh,0,1,0,0,0,0,0,,,,,,,,
BRHip,-0.00092224,0.0053268,-0.038601,0,0,0,0.11316,2.1528E-05,-2.5731E-07,-5.1759E-08,3.5986E-05,-9.3773E-08,2.71E-05,0,0,0,0,0,0,package://FinalURDF.SLDASM/meshes/BRHip.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://FinalURDF.SLDASM/meshes/BRHip.STL,,BRHip-1,BRHipCS,BRHipAxis,BRHipJoint,revolute,-0.1045,-0.099089,-0.035652,0,0,0,BaseLink,1,0,0,0,0,0,0,,,,,,,,
BRThigh,0.014685,-3.7748E-15,-0.02616,0,0,0,0.043631,2.1705E-05,1.1241E-20,9.4139E-06,3.1171E-05,-2.3401E-20,1.0219E-05,0,0,0,0,0,0,package://FinalURDF.SLDASM/meshes/BRThigh.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://FinalURDF.SLDASM/meshes/BRThigh.STL,,BRThigh-1,BRThighCS,BRThighAxis,BRThighJoint,revolute,0.010142,0.0050417,-0.045931,0,0,0,BRHip,0,1,0,0,0,0,0,,,,,,,,
BRFoot,-0.024617,0.0063159,-0.034142,0,0,0,0.1583,9.8389E-05,-1.0157E-06,-4.7327E-05,0.00013791,-1.4322E-06,5.9643E-05,0,0,0,0,0,0,package://FinalURDF.SLDASM/meshes/BRFoot.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://FinalURDF.SLDASM/meshes/BRFoot.STL,,BRFoot-1,BRFootCS,BRFootAxis,BRFootJoint,revolute,0.029371,0,-0.05241,0,0,0,BRThigh,0,1,0,0,0,0,0,,,,,,,,
