Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Base_Link,0.020672,0.0001775,-0.00016057,0,0,0,1.8396,0.0016537,-1.2805E-06,3.4583E-05,0.0026637,-2.9915E-06,0.0037454,0,0,0,0,0,0,package://FinalRemakeURDF.SLDASM/meshes/Base_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://FinalRemakeURDF.SLDASM/meshes/Base_Link.STL,,ChassisRoman2meralFinal-1;FRMount-1;FLMount-1;BLMount-1;BRMount-1;Bracket-1;Assem2-1;Head300-2;BracketHead-1,CenterCS,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FR_Hip_Link,2.8582E-05,0.0050339,-0.037076,0,0,0,0.11621,2.2792E-05,2.5738E-07,7.4847E-08,3.7134E-05,-9.1967E-08,2.723E-05,0,0,0,0,0,0,package://FinalRemakeURDF.SLDASM/meshes/FR_Hip_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://FinalRemakeURDF.SLDASM/meshes/FR_Hip_Link.STL,,FRHip-2,FRHipCS,FRHipAxis,FR_Hip_Joint,revolute,0.12775,-0.1018,-0.040652,0,0,0,Base_Link,-1,0,0,0,0,0,0,,,,,,,,
FR_Thigh_Link,-5.0003E-08,-0.0061714,-0.035007,0,0,0,0.062712,4.2875E-05,-5.4726E-12,9.5949E-09,4.7968E-05,-1.2875E-10,6.0779E-06,0,0,0,0,0,0,package://FinalRemakeURDF.SLDASM/meshes/FR_Thigh_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://FinalRemakeURDF.SLDASM/meshes/FR_Thigh_Link.STL,,FRThigh-2,FRThighCS,FRThighAxis,FR_Thigh_Joint,revolute,-0.010143,0.0050417,-0.045931,0,0,0,FR_Hip_Link,0,1,0,0,0,0,0,,,,,,,,
FR_Foot_Link,0.042285,0.0053727,-0.0014211,0,0,0,0.15776,2.8299E-05,1.7543E-06,6.7181E-06,0.00013787,-7.0463E-08,0.00012969,0,0,0,0,0,0,package://FinalRemakeURDF.SLDASM/meshes/FR_Foot_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://FinalRemakeURDF.SLDASM/meshes/FR_Foot_Link.STL,,FRFoot-1,FRFootCS,FRFootAxis,FR_Foot_Joint,revolute,0,0,-0.07,0,0,0,FR_Thigh_Link,0,1,0,0,0,0,0,,,,,,,,
FL_Hip_Link,0.00022325,-0.0050353,-0.037386,0,0,0,0.11621,2.2791E-05,-2.5729E-07,5.9205E-08,3.7134E-05,9.5564E-08,2.7231E-05,0,0,0,0,0,0,package://FinalRemakeURDF.SLDASM/meshes/FL_Hip_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://FinalRemakeURDF.SLDASM/meshes/FL_Hip_Link.STL,,FLHip-1,FLHipCS,FLHipAxis,FL_Hip_Joint,revolute,0.12775,0.1018,-0.040652,0,0,0,Base_Link,-1,0,0,0,0,0,0,,,,,,,,
FL_Thigh_Link,5.0034E-08,0.0061714,-0.035007,0,0,0,0.062712,4.2875E-05,-5.4696E-12,-9.5949E-09,4.7968E-05,1.2875E-10,6.0779E-06,0,0,0,0,0,0,package://FinalRemakeURDF.SLDASM/meshes/FL_Thigh_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://FinalRemakeURDF.SLDASM/meshes/FL_Thigh_Link.STL,,FLThigh-1,FLThighCS,FLThighAxis,FL_Thigh_Joint,revolute,-0.00985,-0.0050417,-0.046234,0,0,0,FL_Hip_Link,0,1,0,0,0,0,0,,,,,,,,
FL_Foot_Link,0.042285,-0.0062428,-0.0014211,0,0,0,0.15776,2.8299E-05,-1.7544E-06,6.718E-06,0.00013787,7.0446E-08,0.00012969,0,0,0,0,0,0,package://FinalRemakeURDF.SLDASM/meshes/FL_Foot_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://FinalRemakeURDF.SLDASM/meshes/FL_Foot_Link.STL,,FLFoot-2,FLFootCS,FLFootAxis,FL_Foot_Joint,revolute,0,0,-0.07,0,0,0,FL_Thigh_Link,0,1,0,0,0,0,0,,,,,,,,
BR_Hip_Link,0.0012423,0.0050353,-0.036602,0,0,0,0.11621,2.2796E-05,-2.5574E-07,-2.0133E-07,3.7134E-05,-9.9698E-08,2.7226E-05,0,0,0,0,0,0,package://FinalRemakeURDF.SLDASM/meshes/BR_Hip_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://FinalRemakeURDF.SLDASM/meshes/BR_Hip_Link.STL,,BRHip-1,BRHipCS,BRHipAxis,BR_Hip_Joint,revolute,-0.12875,-0.1018,-0.040742,0,0,0,Base_Link,1,0,0,0,0,0,0,,,,,,,,
BR_Thigh_Link,2.9465E-06,-0.0061714,-0.035007,0,0,0,0.062712,4.2875E-05,-5.4616E-12,1.2745E-08,4.7968E-05,-1.2875E-10,6.0779E-06,0,0,0,0,0,0,package://FinalRemakeURDF.SLDASM/meshes/BR_Thigh_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://FinalRemakeURDF.SLDASM/meshes/BR_Thigh_Link.STL,,BRThigh-1,BRThighCS,BRThighAxis,BR_Thigh_Joint,revolute,0.011497,0.0050417,-0.045293,0,0,0,BR_Hip_Link,0,1,0,0,0,0,0,,,,,,,,
BR_Foot_Link,-0.042285,0.0062428,-0.0014211,0,0,0,0.15776,2.8299E-05,-1.7544E-06,-6.718E-06,0.00013787,-7.0446E-08,0.00012969,0,0,0,0,0,0,package://FinalRemakeURDF.SLDASM/meshes/BR_Foot_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://FinalRemakeURDF.SLDASM/meshes/BR_Foot_Link.STL,,BRFoot-1,BRFootCS,BRFootAxis,BR_Foot_Joint,revolute,0,0,-0.07,0,0,0,BR_Thigh_Link,0,1,0,0,0,0,0,,,,,,,,
BL_Hip_Link,-2.8582E-05,-0.0050339,-0.037166,0,0,0,0.11621,2.2792E-05,2.5738E-07,-7.4847E-08,3.7134E-05,9.1967E-08,2.723E-05,0,0,0,0,0,0,package://FinalRemakeURDF.SLDASM/meshes/BL_Hip_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://FinalRemakeURDF.SLDASM/meshes/BL_Hip_Link.STL,,BLHip-1,BLHipCS,BLHipAxis,BL_Hip_Joint,revolute,-0.12875,0.1018,-0.040652,0,0,0,Base_Link,1,0,0,0,0,0,0,,,,,,,,
BL_Thigh_Link,5.0034E-08,0.0053296,-0.035007,0,0,0,0.062712,4.2875E-05,-5.4696E-12,-9.5949E-09,4.7968E-05,1.2875E-10,6.0779E-06,0,0,0,0,0,0,package://FinalRemakeURDF.SLDASM/meshes/BL_Thigh_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://FinalRemakeURDF.SLDASM/meshes/BL_Thigh_Link.STL,,BLThigh-2,BLThighCS,BLThighAxis,BL_Thigh_Joint,revolute,0.010143,-0.0042,-0.046021,0,0,0,BL_Hip_Link,0,1,0,0,0,0,0,,,,,,,,
BL_Foot_Link,-0.042266,-0.0054259,-0.0013891,0,0,0,0.15776,2.8299E-05,1.7543E-06,-6.7181E-06,0.00013787,7.0463E-08,0.00012969,0,0,0,0,0,0,package://FinalRemakeURDF.SLDASM/meshes/BL_Foot_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://FinalRemakeURDF.SLDASM/meshes/BL_Foot_Link.STL,,BLFoot-1,BLFootCS,BLFootAxis,BL_Foot_Joint,revolute,0,0,-0.07,0,0,0,BL_Thigh_Link,0,1,0,0,0,0,0,,,,,,,,
